time,jonathan,christina,charles,yvonne
2013-05-04 13:32:45,3,4,3,2
2013-05-04 13:32:50,0,4,3,0
2013-05-04 13:32:55,3,1,3,2
2013-05-04 13:33:00,3,0,3,5
2013-05-04 13:33:05,0,4,3,0
2013-05-04 13:33:10,0,4,3,7
2013-05-04 13:33:15,0,3,3,5
2013-05-04 13:33:20,0,0,3,2
2013-05-04 13:33:25,0,4,3,2
2013-05-04 13:33:30,0,0,3,0
2013-05-04 13:33:35,0,1,3,2
2013-05-04 13:33:40,0,1,3,2
2013-05-04 13:33:45,0,3,0,2
2013-05-04 13:33:50,0,3,0,0
2013-05-04 13:33:55,0,4,0,2
2013-05-04 13:34:00,0,3,0,2
2013-05-04 13:34:05,0,1,0,2
2013-05-04 13:34:10,0,2,0,2
2013-05-04 13:34:15,0,2,0,2
2013-05-04 13:34:20,0,0,0,2
2013-05-04 13:34:25,0,0,0,2
2013-05-04 13:34:30,0,0,0,2
2013-05-04 13:34:35,0,0,0,2
2013-05-04 13:34:40,0,0,0,0
2013-05-04 13:34:45,0,0,0,2
2013-05-04 13:34:50,0,0,0,2
2013-05-04 13:34:55,0,0,0,1
2013-05-04 13:35:00,0,0,0,1
2013-05-04 13:35:05,0,0,0,1
2013-05-04 13:35:10,0,0,0,1
2013-05-04 13:35:15,0,0,0,1
2013-05-04 13:35:20,0,0,0,1
2013-05-04 13:35:25,0,0,0,1
2013-05-04 13:35:30,0,2,0,1
2013-05-04 13:35:35,0,2,0,1
2013-05-04 13:35:40,0,2,0,1
2013-05-04 13:35:45,0,0,0,1
2013-05-04 13:35:50,0,2,0,1
2013-05-04 13:35:55,0,2,0,1
2013-05-04 13:36:00,0,0,4,1
2013-05-04 13:36:05,0,0,6,1
2013-05-04 13:36:10,0,0,3,1
2013-05-04 13:36:15,0,0,0,1
2013-05-04 13:36:20,0,0,6,1
2013-05-04 13:36:25,0,0,3,1
2013-05-04 13:36:30,0,0,3,1
2013-05-04 13:36:35,0,0,3,1
2013-05-04 13:36:40,0,6,3,1
2013-05-04 13:36:45,0,0,6,0
2013-05-04 13:36:50,0,0,6,0
2013-05-04 13:36:55,0,7,7,0
2013-05-04 13:37:00,0,0,0,0
2013-05-04 13:37:05,0,2,2,0
2013-05-04 13:37:10,0,2,0,0
2013-05-04 13:37:15,0,0,2,1
2013-05-04 13:37:20,0,4,0,1
2013-05-04 13:37:25,0,2,2,1
2013-05-04 13:37:30,0,0,2,1
2013-05-04 13:37:35,0,0,2,1
2013-05-04 13:37:40,0,0,2,1
