time,device_id,x_pos,y_pos,velocity
2013-05-04T13:21:47.643029,jonathan,697.5,454,0
2013-05-04T13:21:48.349728,jonathan,407.5,510,0
2013-05-04T13:21:48.363498,jonathan,404.5,504.5,6.2649822235107
2013-05-04T13:21:48.384250,jonathan,403.5,502.5,2.2360680103302
2013-05-04T13:21:48.397862,jonathan,403,502,0.70710676908493
2013-05-04T13:21:48.500826,jonathan,403,502.5,0.5
2013-05-04T13:21:48.633986,jonathan,403.5,502.5,0.5
2013-05-04T13:21:48.648409,jonathan,407.5,502.5,4
2013-05-04T13:21:48.663118,jonathan,416.5,502.5,9
2013-05-04T13:21:48.688744,jonathan,434,501,17.564168930054
2013-05-04T13:21:48.701495,jonathan,454.5,497.5,20.796634674072
2013-05-04T13:21:48.717003,jonathan,483,489,29.740545272827
2013-05-04T13:21:48.735881,jonathan,513.5,477,32.77575302124
2013-05-04T13:21:48.751549,jonathan,547.5,462,37.161808013916
2013-05-04T13:21:48.767111,jonathan,587,444,43.407947540283
2013-05-04T13:21:48.781388,jonathan,628.5,424,46.067886352539
2013-05-04T13:21:48.804900,jonathan,671,402,47.856555938721
2013-05-04T13:21:48.817277,jonathan,708,378.5,43.832065582275
2013-05-04T13:21:48.833004,jonathan,739.5,353,40.527767181396
2013-05-04T13:21:48.851651,jonathan,765,327.5,36.062446594238
2013-05-04T13:21:48.872743,jonathan,782.5,303,30.108139038086
2013-05-04T13:21:48.886489,jonathan,792,281,23.963514328003
2013-05-04T13:21:48.897999,jonathan,794.5,260.5,20.651876449585
2013-05-04T13:21:48.919974,jonathan,793,239.5,21.053503036499
2013-05-04T13:21:48.933404,jonathan,781,218.5,24.186773300171
2013-05-04T13:21:48.949915,jonathan,762.5,202,24.789110183716
2013-05-04T13:21:48.966702,jonathan,734,186.5,32.44225692749
2013-05-04T13:21:48.989134,jonathan,695,172.5,41.436698913574
2013-05-04T13:21:49.000129,jonathan,648,162.5,48.052055358887
2013-05-04T13:21:49.014077,jonathan,599.5,157,48.810859680176
2013-05-04T13:21:49.036494,jonathan,554.5,156.5,45.002777099609
2013-05-04T13:21:49.049773,jonathan,512,159.5,42.605751037598
2013-05-04T13:21:49.067168,jonathan,467.5,174.5,46.960090637207
2013-05-04T13:21:49.084178,jonathan,423,197,49.864818572998
2013-05-04T13:21:49.105444,jonathan,381,226,51.039199829102
2013-05-04T13:21:49.116665,jonathan,344.5,259.5,49.542911529541
2013-05-04T13:21:49.130851,jonathan,317.5,297,46.208766937256
2013-05-04T13:21:49.152733,jonathan,303.5,332,37.696155548096
2013-05-04T13:21:49.167793,jonathan,302.5,364,32.015621185303
2013-05-04T13:21:49.192853,jonathan,309,391.5,28.257741928101
2013-05-04T13:21:49.199112,jonathan,328.5,414,29.77414894104
2013-05-04T13:21:49.222599,jonathan,358,431.5,34.300144195557
2013-05-04T13:21:49.232720,jonathan,398,440.5,41
2013-05-04T13:21:49.250126,jonathan,452.5,440.5,54.5
2013-05-04T13:21:49.270692,jonathan,517,434.5,64.778465270996
2013-05-04T13:21:49.285535,jonathan,587.5,420.5,71.87663269043
2013-05-04T13:21:49.299719,jonathan,657.5,402.5,72.277244567871
2013-05-04T13:21:49.315004,jonathan,719,383.5,64.36808013916
2013-05-04T13:21:49.338435,jonathan,767.5,363,52.65453338623
2013-05-04T13:21:49.350329,jonathan,803,341.5,41.50301361084
2013-05-04T13:21:49.366589,jonathan,826,319.5,31.827661514282
2013-05-04T13:21:49.383098,jonathan,838,296.5,25.94224357605
2013-05-04T13:21:49.402335,jonathan,843,277.5,19.646883010864
2013-05-04T13:21:49.416675,jonathan,843,257,20.5
2013-05-04T13:21:49.431415,jonathan,834,237.5,21.476732254028
2013-05-04T13:21:49.454641,jonathan,816,222,23.753946304321
2013-05-04T13:21:49.467505,jonathan,785,208,34.014701843262
2013-05-04T13:21:49.483462,jonathan,741,194.5,46.024448394775
2013-05-04T13:21:49.501786,jonathan,691,182,51.538822174072
2013-05-04T13:21:49.522773,jonathan,640.5,173,51.295711517334
2013-05-04T13:21:49.532941,jonathan,590,168,50.746921539307
2013-05-04T13:21:49.548243,jonathan,541,167,49.010204315186
2013-05-04T13:21:49.570582,jonathan,495,168.5,46.024448394775
2013-05-04T13:21:49.582656,jonathan,452,176.5,43.737854003906
2013-05-04T13:21:49.600592,jonathan,412,188.5,41.761226654053
2013-05-04T13:21:49.617162,jonathan,373,204,41.967250823975
2013-05-04T13:21:49.639141,jonathan,337.5,223,40.264747619629
2013-05-04T13:21:49.650052,jonathan,307.5,245,37.202152252197
2013-05-04T13:21:49.664712,jonathan,284,268,32.88236618042
2013-05-04T13:21:49.686943,jonathan,268,289,26.400756835938
2013-05-04T13:21:49.700253,jonathan,260,306,18.788293838501
2013-05-04T13:21:49.716426,jonathan,257,321,15.297058105469
2013-05-04T13:21:49.734598,jonathan,257,333.5,12.5
2013-05-04T13:21:49.755888,jonathan,261.5,343.5,10.965856552124
2013-05-04T13:21:49.766952,jonathan,269.5,351.5,11.313708305359
2013-05-04T13:21:49.781864,jonathan,282.5,359,15.008331298828
2013-05-04T13:21:49.802136,jonathan,298,365.5,16.807735443115
2013-05-04T13:21:49.816798,jonathan,315.5,371,18.343936920166
2013-05-04T13:21:49.832963,jonathan,335,377.5,20.554803848267
2013-05-04T13:21:49.850034,jonathan,355.5,382.5,21.10094833374
2013-05-04T13:21:49.872030,jonathan,377,386.5,21.868927001953
2013-05-04T13:21:49.885187,jonathan,400.5,388,23.547822952271
2013-05-04T13:21:49.903674,jonathan,422.5,388.5,22.005681991577
2013-05-04T13:21:49.918750,jonathan,444.5,389,22.005681991577
2013-05-04T13:21:49.932411,jonathan,466,389,21.5
2013-05-04T13:21:49.950080,jonathan,485,390.5,19.059118270874
