train2013-5s,train2013-1s,train2014-1s
0.9090909090909091,0.9056603773584906,1.0
1.0,0.9615384615384616,0.9818181818181818
0.8888888888888888,0.9803921568627451,0.9818181818181818
0.8,0.9215686274509803,0.9636363636363636
0.9,0.9387755102040817,0.9818181818181818
0.9090909090909091,0.9791666666666666,0.9272727272727272
1.0,0.9583333333333334,0.9433962264150944
1.0,0.9347826086956522,0.9811320754716981
0.7777777777777778,0.8863636363636364,0.98
1.0,0.9545454545454546,1.0
0.9230769230769231,0.9622641509433962,1.0
0.9166666666666666,0.9038461538461539,0.9818181818181818
1.0,0.9411764705882353,0.9454545454545454
1.0,0.9803921568627451,0.9636363636363636
1.0,0.9795918367346939,0.9090909090909091
0.8,0.9583333333333334,1.0
0.9,0.875,0.9811320754716981
0.875,0.9347826086956522,0.9622641509433962
0.7777777777777778,0.9090909090909091,0.98
1.0,0.9545454545454546,1.0
0.9230769230769231,0.9433962264150944,0.9818181818181818
0.9090909090909091,0.9615384615384616,0.9454545454545454
0.7777777777777778,0.9803921568627451,0.9818181818181818
1.0,0.9019607843137255,1.0
0.9090909090909091,0.9387755102040817,0.9272727272727272
0.9,0.9583333333333334,1.0
0.7777777777777778,0.9583333333333334,0.9622641509433962
1.0,0.9130434782608695,0.9811320754716981
1.0,0.9545454545454546,0.98
1.0,0.9318181818181818,1.0
0.6666666666666666,0.8867924528301887,0.9454545454545454
1.0,0.9807692307692307,0.9818181818181818
0.8888888888888888,0.9411764705882353,0.9636363636363636
0.7,0.9411764705882353,0.9818181818181818
1.0,1.0,0.9818181818181818
1.0,0.9166666666666666,1.0
1.0,0.9791666666666666,1.0
1.0,0.9347826086956522,0.9622641509433962
1.0,0.9090909090909091,0.94
0.875,0.9318181818181818,0.9782608695652174
1.0,0.9622641509433962,0.9636363636363636
0.9090909090909091,0.9230769230769231,0.9636363636363636
1.0,0.9803921568627451,0.9636363636363636
0.9,0.9607843137254902,0.9818181818181818
0.9,0.9591836734693877,0.9636363636363636
0.9,0.9583333333333334,0.9636363636363636
0.8888888888888888,0.9583333333333334,0.9811320754716981
0.875,0.9565217391304348,0.9622641509433962
0.9,0.8636363636363636,0.98
0.8571428571428571,0.9090909090909091,0.9782608695652174
0.8181818181818182,0.9245283018867925,0.9818181818181818
0.8333333333333334,0.9423076923076923,0.9818181818181818
1.0,0.9607843137254902,0.9818181818181818
0.9,0.9411764705882353,0.9636363636363636
1.0,0.9387755102040817,0.9272727272727272
0.8888888888888888,0.9583333333333334,0.9636363636363636
0.8888888888888888,0.9166666666666666,0.9622641509433962
0.875,0.9347826086956522,0.9811320754716981
0.8888888888888888,1.0,1.0
1.0,0.9772727272727273,1.0
1.0,0.9245283018867925,0.9090909090909091
0.9090909090909091,0.9615384615384616,1.0
0.9,0.9607843137254902,0.9272727272727272
0.9,0.9607843137254902,0.9818181818181818
0.9090909090909091,0.9387755102040817,0.9818181818181818
0.9,0.875,0.9818181818181818
0.9,0.9166666666666666,1.0
1.0,0.9782608695652174,0.9811320754716981
0.875,0.9545454545454546,0.96
0.875,0.9545454545454546,0.9782608695652174
0.9090909090909091,0.9622641509433962,0.9272727272727272
0.9,0.9423076923076923,0.9454545454545454
0.8181818181818182,0.9803921568627451,1.0
0.8888888888888888,0.9607843137254902,0.9818181818181818
1.0,0.9387755102040817,0.9636363636363636
1.0,0.875,0.9818181818181818
1.0,0.8541666666666666,0.9811320754716981
0.9,0.9782608695652174,0.9811320754716981
0.6666666666666666,0.8863636363636364,1.0
1.0,1.0,0.9782608695652174
0.9166666666666666,0.9433962264150944,0.9636363636363636
0.9090909090909091,0.9807692307692307,0.9818181818181818
0.9,0.8823529411764706,0.9636363636363636
0.875,0.9607843137254902,0.9636363636363636
1.0,0.9387755102040817,0.9636363636363636
1.0,0.9583333333333334,0.9818181818181818
0.8,0.875,0.9811320754716981
1.0,0.9565217391304348,1.0
0.875,0.9318181818181818,0.98
1.0,0.9318181818181818,0.9782608695652174
0.9230769230769231,0.9811320754716981,0.9818181818181818
0.9166666666666666,0.9038461538461539,0.9636363636363636
0.9,0.9019607843137255,0.9818181818181818
0.8,0.9803921568627451,0.9272727272727272
1.0,0.9387755102040817,0.9818181818181818
1.0,0.9166666666666666,0.9818181818181818
0.8571428571428571,0.9166666666666666,0.9245283018867925
1.0,0.9565217391304348,1.0
0.7777777777777778,0.9772727272727273,1.0
0.875,0.9318181818181818,0.9347826086956522
