,centroid_x,centroid_y,std_x,std_y,freq,movement_freq,touchdown_freq,velocity,gesture
2013-07-01 17:21:05,301.5,724.0,0.0,0.0,1,1,1,0.0,0
2013-07-01 17:21:10,-1.0,-1.0,0.0,0.0,0,0,0,0.0,0
2013-07-01 17:21:15,469.2352941176471,70.19117647058823,432.7180521494007,49.30532805216441,34,34,28,0.4980947647058823,1
2013-07-01 17:21:20,476.99056603773585,60.320754716981135,430.00592002371627,18.30066579800357,53,53,44,0.23808895849056602,1
2013-07-01 17:21:25,466.4791666666667,60.09375,427.5701753816401,20.145126713901526,48,48,43,0.36186781250000005,1
2013-07-01 17:21:30,463.81081081081084,52.82432432432432,435.88927861695936,19.463718461186605,37,37,37,0.0,1
2013-07-01 17:21:35,924.7021276595744,56.58510638297872,42.30667790520373,16.326598446592072,47,47,40,3.469099765957446,1
2013-07-01 17:21:40,939.8507462686567,51.1044776119403,38.31864161069897,10.721875582697963,67,67,52,3.1399167761194025,1
2013-07-01 17:21:45,947.1875,170.0375,40.67218659994214,259.7078582457901,40,40,29,5.609572345,1
2013-07-01 17:21:50,959.0,690.1686046511628,37.198276367405555,30.62377108843969,86,86,48,7.100161872093024,1
2013-07-01 17:21:55,939.0148514851485,689.0891089108911,39.11262299089289,23.978052051783102,101,101,45,9.116461346534654,1
2013-07-01 17:22:00,903.7368421052631,689.7631578947369,36.59704314902314,27.407606619053684,19,19,7,9.317711421052632,0
2013-07-01 17:22:05,192.25,516.9642857142857,82.91092300684002,67.57943026990088,14,14,2,37.27041714285714,3
2013-07-01 17:22:10,506.78767123287673,459.8082191780822,239.06587478094673,53.50932097781516,73,73,12,39.79985397260274,3
2013-07-01 17:22:15,534.7884615384615,360.91346153846155,112.71447295388911,64.94671429400202,52,52,10,48.48799942307692,3
2013-07-01 17:22:20,530.2096774193549,359.247311827957,127.1554877207567,81.97383674791271,93,93,17,62.6066819247312,3
2013-07-01 17:22:25,574.9444444444445,344.06944444444446,139.59640311712863,67.05484776684135,108,108,19,51.071359629629654,3
2013-07-01 17:22:30,549.7474226804123,321.44329896907215,143.74877035183025,67.6569501037164,97,97,17,53.03183670103091,3
2013-07-01 17:22:35,546.2403846153846,310.8317307692308,174.14924941467677,69.63805909590859,104,104,18,52.84046153846154,3
2013-07-01 17:22:40,582.3333333333334,294.6625,210.29848068969056,75.05620198146421,120,120,19,48.70090974166667,3
2013-07-01 17:22:45,525.7136752136752,303.4188034188034,161.84192101425162,73.48266735771182,117,117,18,50.20734786324786,3
2013-07-01 17:22:50,513.3359375,305.6015625,169.27103406581506,71.94327459481256,64,64,10,49.342800624999995,3
2013-07-01 17:22:55,68.54385964912281,537.921052631579,1.449078748400294,24.219002535982224,114,114,1,0.7996592157894735,5
2013-07-01 17:23:00,82.45652173913044,373.768115942029,5.212041394124872,72.95885912735129,276,276,0,0.8641170297101446,5
2013-07-01 17:23:05,87.66444444444444,193.08666666666667,5.646552185830003,40.30154530004313,225,225,0,0.6473470773333333,5
2013-07-01 17:23:10,161.53541666666666,120.9,40.35869242454428,8.829889331508893,240,240,0,0.6750449066666661,5
2013-07-01 17:23:15,302.6722222222222,185.3,38.84265474651707,27.069557930316314,270,270,0,0.7050117474074062,5
2013-07-01 17:23:20,443.25912408759126,302.5821167883212,41.37333829381296,41.659833976281824,274,274,0,0.7949212729926983,5
2013-07-01 17:23:25,598.3961937716263,460.6885813148789,50.00121129828412,43.97229131945619,289,289,0,0.8610719903114168,5
2013-07-01 17:23:30,749.4193548387096,530.3387096774194,27.178215786678564,26.880079193291802,248,248,0,0.7027530887096772,5
2013-07-01 17:23:35,789.8212765957447,392.5553191489362,2.5478276460086815,47.632553727227304,235,235,0,0.6930567863829786,5
2013-07-01 17:23:40,800.1397058823529,245.5441176470588,4.6337636355677505,36.45529031332017,204,204,0,0.6975223274509803,5
2013-07-01 17:23:45,763.4302325581396,173.82558139534885,34.80281258697859,16.385856863498294,215,215,0,0.7101983441860462,5
2013-07-01 17:23:50,674.6073619631902,246.50920245398774,14.244854207497712,16.203325408639596,163,163,0,0.5842443582822086,5
2013-07-01 17:23:55,625.8639705882352,286.15441176470586,14.401834619726174,8.238912798170677,136,136,0,0.5304568823529411,5
2013-07-01 17:24:00,564.6211340206186,329.0128865979381,22.1032554925863,18.310111844810145,194,194,0,0.5895099824742271,5
2013-07-01 17:24:05,503.4331210191083,379.8980891719745,13.15088662573565,11.273087257948939,157,157,0,0.5211064254777071,5
2013-07-01 17:24:10,473.2395833333333,406.9791666666667,4.448271937162829,4.1756109673141975,48,48,0,0.5995453166666667,5
2013-07-01 17:24:15,428.15287769784175,379.8453237410072,161.76688282207377,182.7466025791641,278,278,1,4.488836974820145,6
2013-07-01 17:24:20,522.3411371237459,356.03344481605353,189.42178623568103,173.42997702641262,299,299,0,5.252452772575251,6
2013-07-01 17:24:25,489.965,355.205,192.47766132384206,177.61895201634485,300,300,0,5.059356486666665,6
2013-07-01 17:24:30,508.995,392.83166666666665,239.6920072428791,185.07220184803143,300,300,0,5.717306760000002,6
2013-07-01 17:24:35,476.61538461538464,373.4347826086956,232.29018294232415,194.30546575176322,299,299,0,6.239633575250836,6
2013-07-01 17:24:40,490.82274247491637,321.4297658862876,217.38143111852528,206.42531211105472,299,299,0,6.63719366555184,6
2013-07-01 17:24:45,646.9444444444445,224.26262626262627,113.07415592976595,140.41408048024954,99,99,0,7.104910757575756,0
2013-07-01 17:24:50,301.72083333333336,511.05833333333334,152.6374679465971,113.59281888130323,120,120,2,15.47523635833333,4
