time,christina,charles,yvonne,jonathan
2013-08-03 18:40:42,3,4,0,2
2013-08-03 18:40:43,2,3,0,2
2013-08-03 18:40:44,2,3,0,2
2013-08-03 18:40:45,2,3,0,2
2013-08-03 18:40:46,3,3,0,2
2013-08-03 18:40:47,2,3,0,2
2013-08-03 18:40:48,3,3,0,2
2013-08-03 18:40:49,3,4,0,2
2013-08-03 18:40:50,2,4,0,2
2013-08-03 18:40:51,3,8,0,2
2013-08-03 18:40:52,3,6,0,2
2013-08-03 18:40:53,3,8,0,2
2013-08-03 18:40:54,4,8,0,2
2013-08-03 18:40:55,3,3,0,2
2013-08-03 18:40:56,4,3,0,2
2013-08-03 18:40:57,3,4,0,2
2013-08-03 18:40:58,3,4,0,2
2013-08-03 18:40:59,4,4,0,2
2013-08-03 18:41:00,2,3,0,2
2013-08-03 18:41:01,2,3,0,2
2013-08-03 18:41:02,2,3,0,2
2013-08-03 18:41:03,2,8,2,2
2013-08-03 18:41:04,2,8,2,2
2013-08-03 18:41:05,2,8,2,2
2013-08-03 18:41:06,2,8,2,2
2013-08-03 18:41:07,4,8,2,2
2013-08-03 18:41:08,4,5,2,2
2013-08-03 18:41:09,4,5,0,2
2013-08-03 18:41:10,4,5,0,2
2013-08-03 18:41:11,4,5,0,2
2013-08-03 18:41:12,3,5,2,2
2013-08-03 18:41:13,2,5,2,2
2013-08-03 18:41:14,2,5,2,2
2013-08-03 18:41:15,2,5,2,2
2013-08-03 18:41:16,2,5,2,2
2013-08-03 18:41:17,2,1,2,2
2013-08-03 18:41:18,0,1,2,2
2013-08-03 18:41:19,0,2,2,2
2013-08-03 18:41:20,0,2,2,2
2013-08-03 18:41:21,0,2,2,2
2013-08-03 18:41:22,0,2,2,2
2013-08-03 18:41:23,2,2,2,2
2013-08-03 18:41:24,2,2,2,2
2013-08-03 18:41:25,2,2,2,2
2013-08-03 18:41:26,2,2,2,2
2013-08-03 18:41:27,2,2,2,2
2013-08-03 18:41:28,0,2,2,2
2013-08-03 18:41:29,2,2,1,2
2013-08-03 18:41:30,2,2,1,2
2013-08-03 18:41:31,2,2,1,2
2013-08-03 18:41:32,2,2,1,2
2013-08-03 18:41:33,2,2,1,2
2013-08-03 18:41:34,1,2,1,2
2013-08-03 18:41:35,0,2,1,2
2013-08-03 18:41:36,0,2,1,2
2013-08-03 18:41:37,2,2,1,2
2013-08-03 18:41:38,1,0,1,2
2013-08-03 18:41:39,2,0,1,2
2013-08-03 18:41:40,2,0,1,2
2013-08-03 18:41:41,2,2,1,2
2013-08-03 18:41:42,1,2,2,2
2013-08-03 18:41:43,0,2,1,2
2013-08-03 18:41:44,0,2,1,2
2013-08-03 18:41:45,0,2,1,2
2013-08-03 18:41:46,0,2,1,2
2013-08-03 18:41:47,0,2,1,2
2013-08-03 18:41:48,0,2,1,2
2013-08-03 18:41:49,0,2,1,2
2013-08-03 18:41:50,0,2,1,2
2013-08-03 18:41:51,0,2,1,2
2013-08-03 18:41:52,0,2,1,2
2013-08-03 18:41:53,0,2,1,2
2013-08-03 18:41:54,0,2,2,2
2013-08-03 18:41:55,0,2,1,2
2013-08-03 18:41:56,0,2,2,2
2013-08-03 18:41:57,0,2,1,2
2013-08-03 18:41:58,1,2,1,2
2013-08-03 18:41:59,2,2,1,2
2013-08-03 18:42:00,2,2,2,2
2013-08-03 18:42:01,2,2,1,2
2013-08-03 18:42:02,2,2,1,2
2013-08-03 18:42:03,2,2,1,2
2013-08-03 18:42:04,2,2,1,2
2013-08-03 18:42:05,2,2,1,2
2013-08-03 18:42:06,2,2,1,2
2013-08-03 18:42:07,2,2,1,2
2013-08-03 18:42:08,2,2,1,2
2013-08-03 18:42:09,2,1,1,2
2013-08-03 18:42:10,2,2,1,2
2013-08-03 18:42:11,2,2,1,2
2013-08-03 18:42:12,2,2,1,2
2013-08-03 18:42:13,2,2,1,2
2013-08-03 18:42:14,2,2,1,2
2013-08-03 18:42:15,2,2,1,2
2013-08-03 18:42:16,2,1,1,2
2013-08-03 18:42:17,2,2,1,2
2013-08-03 18:42:18,2,1,1,2
2013-08-03 18:42:19,2,2,1,2
2013-08-03 18:42:20,2,2,1,2
2013-08-03 18:42:21,0,2,1,2
2013-08-03 18:42:22,2,2,1,2
2013-08-03 18:42:23,2,2,1,2
2013-08-03 18:42:24,2,1,1,2
2013-08-03 18:42:25,2,2,1,2
2013-08-03 18:42:26,2,2,1,2
2013-08-03 18:42:27,2,2,1,2
2013-08-03 18:42:28,2,2,1,2
2013-08-03 18:42:29,2,2,1,2
2013-08-03 18:42:30,2,2,1,2
