time,charles,christina,yvonne,jonathan
2013-04-27 17:54:10,0.0,6.0,0.0,2.0
2013-04-27 17:54:15,0.0,5.0,0.0,5.0
2013-04-27 17:54:20,4.0,2.0,0.0,0.0
2013-04-27 17:54:25,0.0,0.0,2.0,2.0
2013-04-27 17:54:30,4.0,2.0,2.0,2.0
2013-04-27 17:54:35,0.0,2.0,0.0,2.0
2013-04-27 17:54:40,0.0,4.0,2.0,4.0
2013-04-27 17:54:45,4.0,4.0,2.0,2.0
2013-04-27 17:54:50,7.0,4.0,0.0,7.0
2013-04-27 17:54:55,4.0,7.0,2.0,4.0
2013-04-27 17:55:00,0.0,0.0,0.0,5.0
2013-04-27 17:55:05,3.0,7.0,2.0,5.0
2013-04-27 17:55:10,1.0,7.0,0.0,5.0
2013-04-27 17:55:15,1.0,7.0,0.0,5.0
2013-04-27 17:55:20,5.0,4.0,0.0,5.0
2013-04-27 17:55:25,1.0,4.0,0.0,6.0
2013-04-27 17:55:30,3.0,0.0,7.0,4.0
2013-04-27 17:55:35,4.0,0.0,2.0,6.0
2013-04-27 17:55:40,3.0,0.0,0.0,4.0
2013-04-27 17:55:45,2.0,0.0,2.0,5.0
2013-04-27 17:55:50,2.0,0.0,0.0,0.0
2013-04-27 17:55:55,2.0,0.0,0.0,0.0
2013-04-27 17:56:00,1.0,4.0,0.0,4.0
2013-04-27 17:56:05,2.0,3.0,2.0,4.0
2013-04-27 17:56:10,5.0,6.0,2.0,2.0
2013-04-27 17:56:15,6.0,3.0,0.0,0.0
2013-04-27 17:56:20,7.0,3.0,0.0,2.0
2013-04-27 17:56:25,7.0,1.0,0.0,0.0
2013-04-27 17:56:30,7.0,1.0,0.0,1.0
2013-04-27 17:56:35,5.0,0.0,2.0,0.0
2013-04-27 17:56:40,5.0,2.0,0.0,0.0
2013-04-27 17:56:45,5.0,2.0,0.0,5.0
2013-04-27 17:56:50,5.0,2.0,0.0,5.0
2013-04-27 17:56:55,5.0,2.0,0.0,5.0
2013-04-27 17:57:00,5.0,2.0,0.0,6.0
2013-04-27 17:57:05,5.0,2.0,0.0,4.0
2013-04-27 17:57:10,0.0,2.0,0.0,2.0
2013-04-27 17:57:15,2.0,2.0,0.0,2.0
2013-04-27 17:57:20,2.0,2.0,0.0,2.0
2013-04-27 17:57:25,2.0,2.0,0.0,2.0
2013-04-27 17:57:30,2.0,2.0,0.0,2.0
2013-04-27 17:57:35,2.0,2.0,0.0,0.0
2013-04-27 17:57:40,0.0,2.0,0.0,1.0
2013-04-27 17:57:45,1.0,0.0,0.0,0.0
2013-04-27 17:57:50,1.0,2.0,0.0,0.0
2013-04-27 17:57:55,1.0,0.0,0.0,2.0
2013-04-27 17:58:00,1.0,2.0,0.0,2.0
2013-04-27 17:58:05,1.0,1.0,2.0,6.0
2013-04-27 17:58:10,2.0,2.0,3.0,2.0
2013-04-27 17:58:15,0.0,2.0,1.0,2.0
2013-04-27 17:58:20,0.0,2.0,1.0,2.0
2013-04-27 17:58:25,0.0,2.0,1.0,0.0
2013-04-27 17:58:30,0.0,0.0,1.0,0.0
2013-04-27 17:58:35,0.0,0.0,1.0,0.0
2013-04-27 17:58:40,4.0,0.0,1.0,0.0
2013-04-27 17:58:45,4.0,0.0,1.0,0.0
2013-04-27 17:58:50,4.0,0.0,1.0,0.0
2013-04-27 17:58:55,4.0,0.0,1.0,0.0
2013-04-27 17:59:00,6.0,0.0,1.0,6.0
2013-04-27 17:59:05,3.0,0.0,1.0,4.0
2013-04-27 17:59:10,3.0,0.0,1.0,3.0
2013-04-27 17:59:15,7.0,0.0,1.0,0.0
2013-04-27 17:59:20,7.0,0.0,3.0,0.0
2013-04-27 17:59:25,4.0,0.0,0.0,0.0
2013-04-27 17:59:30,7.0,0.0,2.0,0.0
2013-04-27 17:59:35,7.0,0.0,0.0,0.0
2013-04-27 17:59:40,2.0,0.0,0.0,0.0
2013-04-27 17:59:45,2.0,0.0,0.0,0.0
2013-04-27 17:59:50,0.0,0.0,2.0,2.0
2013-04-27 17:59:55,3.0,0.0,0.0,3.0
2013-04-27 18:00:00,2.0,0.0,0.0,3.0
2013-04-27 18:00:05,0.0,0.0,0.0,0.0
2013-04-27 18:00:10,0.0,2.0,2.0,0.0
2013-04-27 18:00:15,4.0,1.0,2.0,0.0
2013-04-27 18:00:20,7.0,0.0,2.0,0.0
2013-04-27 18:00:25,4.0,0.0,0.0,2.0
2013-04-27 18:00:30,4.0,0.0,8.0,2.0
2013-04-27 18:00:35,4.0,0.0,8.0,2.0
2013-04-27 18:00:40,4.0,0.0,0.0,0.0
2013-04-27 18:00:45,4.0,0.0,0.0,5.0
2013-04-27 18:00:50,4.0,5.0,5.0,6.0
2013-04-27 18:00:55,4.0,4.0,5.0,6.0
2013-04-27 18:01:00,7.0,4.0,0.0,0.0
2013-04-27 18:01:05,4.0,4.0,0.0,3.0
2013-04-27 18:01:10,4.0,0.0,0.0,3.0
2013-04-27 18:01:15,3.0,0.0,0.0,3.0
2013-04-27 18:01:20,3.0,0.0,3.0,3.0
2013-04-27 18:01:25,4.0,6.0,7.0,3.0
2013-04-27 18:01:30,4.0,4.0,0.0,4.0
2013-04-27 18:01:35,4.0,3.0,3.0,3.0
2013-04-27 18:01:40,4.0,0.0,3.0,3.0
2013-04-27 18:01:45,4.0,0.0,2.0,4.0
2013-04-27 18:01:50,6.0,0.0,0.0,3.0
2013-04-27 18:01:55,2.0,2.0,3.0,3.0
2013-04-27 18:02:00,0.0,2.0,3.0,4.0
2013-04-27 18:02:05,0.0,2.0,3.0,3.0
2013-04-27 18:02:10,0.0,2.0,0.0,3.0
2013-04-27 18:02:15,0.0,2.0,0.0,0.0
2013-04-27 18:02:20,2.0,0.0,0.0,1.0
2013-04-27 18:02:25,2.0,0.0,0.0,3.0
2013-04-27 18:02:30,0.0,0.0,0.0,1.0
2013-04-27 18:02:35,0.0,0.0,0.0,3.0
2013-04-27 18:02:40,0.0,0.0,0.0,3.0
2013-04-27 18:02:45,0.0,0.0,0.0,3.0
2013-04-27 18:02:50,0.0,0.0,0.0,3.0
2013-04-27 18:02:55,4.0,0.0,0.0,3.0
2013-04-27 18:03:00,4.0,0.0,0.0,3.0
2013-04-27 18:03:05,4.0,0.0,2.0,3.0
2013-04-27 18:03:10,4.0,0.0,0.0,3.0
2013-04-27 18:03:15,7.0,0.0,0.0,4.0
2013-04-27 18:03:20,0.0,0.0,0.0,3.0
2013-04-27 18:03:25,0.0,0.0,0.0,3.0
2013-04-27 18:03:30,0.0,0.0,0.0,3.0
2013-04-27 18:03:35,0.0,0.0,0.0,4.0
2013-04-27 18:03:40,0.0,0.0,0.0,0.0
2013-04-27 18:03:45,0.0,0.0,0.0,0.0
2013-04-27 18:03:50,0.0,0.0,0.0,0.0
2013-04-27 18:03:55,0.0,0.0,0.0,0.0
2013-04-27 18:04:00,0.0,0.0,0.0,0.0
