time,charles,christina,yvonne,jonathan
2013-04-27 17:58:50,5,0,1,1
2013-04-27 17:58:55,5,0,1,3
2013-04-27 17:59:00,5,0,1,3
2013-04-27 17:59:05,5,0,1,1
2013-04-27 17:59:10,7,0,1,1
2013-04-27 17:59:15,7,0,1,0
2013-04-27 17:59:20,7,0,3,0
2013-04-27 17:59:25,7,0,8,0
2013-04-27 17:59:30,5,0,8,0
2013-04-27 17:59:35,5,0,8,0
2013-04-27 17:59:40,5,0,8,0
2013-04-27 17:59:45,0,0,8,0
2013-04-27 17:59:50,1,0,8,1
2013-04-27 17:59:55,1,0,8,1
2013-04-27 18:00:00,1,0,8,1
2013-04-27 18:00:05,0,0,8,1
2013-04-27 18:00:10,0,0,8,0
2013-04-27 18:00:15,5,0,8,0
2013-04-27 18:00:20,5,2,8,0
2013-04-27 18:00:25,5,0,8,2
2013-04-27 18:00:30,5,0,8,1
2013-04-27 18:00:35,3,0,8,0
2013-04-27 18:00:40,3,0,8,0
2013-04-27 18:00:45,3,0,0,7
2013-04-27 18:00:50,3,0,2,6
2013-04-27 18:00:55,7,8,5,5
2013-04-27 18:01:00,3,4,2,4
2013-04-27 18:01:05,5,4,2,3
2013-04-27 18:01:10,3,4,5,3
2013-04-27 18:01:15,3,0,5,3
2013-04-27 18:01:20,3,0,4,3
2013-04-27 18:01:25,3,8,7,3
2013-04-27 18:01:30,4,7,7,6
2013-04-27 18:01:35,3,3,1,6
2013-04-27 18:01:40,3,0,1,6
2013-04-27 18:01:45,3,0,2,6
2013-04-27 18:01:50,3,3,2,6
2013-04-27 18:01:55,3,2,0,7
2013-04-27 18:02:00,0,2,4,7
2013-04-27 18:02:05,0,2,4,7
2013-04-27 18:02:10,0,2,0,7
2013-04-27 18:02:15,0,2,0,1
2013-04-27 18:02:20,1,2,0,1
2013-04-27 18:02:25,0,0,0,1
2013-04-27 18:02:30,0,0,0,7
2013-04-27 18:02:35,0,0,0,7
2013-04-27 18:02:40,0,0,0,7
2013-04-27 18:02:45,0,0,0,7
2013-04-27 18:02:50,7,0,0,1
2013-04-27 18:02:55,3,0,0,7
2013-04-27 18:03:00,3,0,0,7
2013-04-27 18:03:05,3,0,0,7
2013-04-27 18:03:10,3,0,2,7
2013-04-27 18:03:15,5,0,0,7
2013-04-27 18:03:20,0,0,0,3
2013-04-27 18:03:25,0,0,0,7
2013-04-27 18:03:30,0,0,0,7
2013-04-27 18:03:35,0,0,0,0
2013-04-27 18:03:40,0,0,0,0
2013-04-27 18:03:45,0,0,0,0
2013-04-27 18:03:50,0,0,0,0
2013-04-27 18:03:55,0,0,0,0
2013-04-27 18:04:00,0,0,0,0
