,centroid_x,centroid_y,std_x,std_y,freq,movement_freq,touchdown_freq,velocity,gesture
2013-07-01 17:21:05,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:21:06,301.5,724.0,0.0,0.0,1,0,1,0.0,0
2013-07-01 17:21:07,301.5,724.0,0.0,0.0,1,0,1,0.0,2
2013-07-01 17:21:08,301.5,724.0,0.0,0.0,1,0,1,0.0,2
2013-07-01 17:21:09,301.5,724.0,0.0,0.0,1,0,1,0.0,2
2013-07-01 17:21:10,301.5,724.0,0.0,0.0,1,0,1,0.0,2
2013-07-01 17:21:11,-1,-1,0,0,0,0,0,0,2
2013-07-01 17:21:12,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:21:13,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:21:14,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:21:15,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:21:16,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:21:17,413.5625,76.5,445.96776288843375,54.830908905731008,8,2,6,0.96782999999999997,1
2013-07-01 17:21:18,415.875,84.78125,425.93890406958604,68.388587924692033,16,4,12,0.76516499999999998,1
2013-07-01 17:21:19,469.07999999999998,74.359999999999999,435.7734665702659,56.628636748556822,25,6,19,0.67740887999999999,1
2013-07-01 17:21:20,469.23529411764707,70.191176470588232,432.71805214940071,49.305328052164413,34,6,28,0.49809476470588232,1
2013-07-01 17:21:21,483.69791666666669,68.354166666666671,436.85480985011986,42.437182403578703,48,11,37,0.45888007916666673,1
2013-07-01 17:21:22,492.08163265306121,64.204081632653057,436.48078120799954,37.293307929527117,49,9,40,0.29150211836734696,1
2013-07-01 17:21:23,488.89361702127661,56.627659574468083,442.26000536977818,17.574830101568057,47,9,38,0.34704886808510638,1
2013-07-01 17:21:24,476.55769230769232,58.605769230769234,434.96278468084506,17.418813510183877,52,8,44,0.23305220769230767,1
2013-07-01 17:21:25,476.99056603773585,60.320754716981135,430.00592002371627,18.300665798003575,53,9,44,0.23808895849056602,1
2013-07-01 17:21:26,463.94680851063828,59.170212765957444,420.05750426788813,18.032963957269505,47,4,43,0.16016368085106383,1
2013-07-01 17:21:27,468.13043478260869,63.652173913043477,416.57244847795425,18.917619525257813,46,4,42,0.1636455,1
2013-07-01 17:21:28,485.48000000000002,66.290000000000006,415.16006207589038,18.052104292512698,50,2,48,0.02,1
2013-07-01 17:21:29,463.30000000000001,63.409999999999997,420.68220833327769,19.04497630476288,50,6,44,0.35739310000000002,1
2013-07-01 17:21:30,466.47916666666669,60.09375,427.57017538164013,20.145126713901526,48,5,43,0.36186781250000005,1
2013-07-01 17:21:31,465.47000000000003,58.020000000000003,432.84966294810226,20.532443217741918,50,5,45,0.34739310000000001,1
2013-07-01 17:21:32,457.5980392156863,52.352941176470587,438.63725354337885,18.992444318108991,51,5,46,0.34058147058823535,1
2013-07-01 17:21:33,460.70999999999998,49.18,439.08652963875363,16.347551773265376,50,5,45,0.34739310000000001,1
2013-07-01 17:21:34,469.18888888888887,52.12222222222222,435.58976854908622,19.628699869982697,45,0,45,0.0,1
2013-07-01 17:21:35,463.81081081081084,52.824324324324323,435.8892786169593,19.463718461186605,37,0,37,0.0,1
2013-07-01 17:21:36,462.59259259259261,54.055555555555557,436.37902625860073,20.570391966149451,27,0,27,0.0,1
2013-07-01 17:21:37,615.36538461538464,56.480769230769234,420.5908833460922,18.370890435267846,26,0,26,0.0,1
2013-07-01 17:21:38,766.21428571428567,58.696428571428569,337.6656089862625,18.398540242877509,28,0,28,0.0,1
2013-07-01 17:21:39,918.95833333333337,55.555555555555557,41.783348528878271,15.292284598907003,36,6,30,4.4543085277777772,1
2013-07-01 17:21:40,924.70212765957444,56.585106382978722,42.306677905203195,16.326598446592083,47,7,40,3.4690997659574458,1
2013-07-01 17:21:41,927.67241379310349,53.086206896551722,42.653700578246848,16.804640631785627,58,8,50,2.9665787413793097,1
2013-07-01 17:21:42,928.71311475409834,52.598360655737707,42.701527979725896,16.460513274735984,61,8,53,2.8206814262295077,1
2013-07-01 17:21:43,932.33333333333337,53.206349206349209,41.570577374217528,15.139042380503088,63,11,52,3.7829287460317458,1
2013-07-01 17:21:44,942.1583333333333,53.274999999999999,37.926165073403908,13.826842293040377,60,9,51,3.2826205666666661,1
2013-07-01 17:21:45,939.85074626865674,51.104477611940297,38.31864161069921,10.721875582697967,67,15,52,3.1399167761194025,1
2013-07-01 17:21:46,938.72794117647061,54.676470588235297,37.547326735091083,9.6798624272797547,68,16,52,3.9252432352941176,1
2013-07-01 17:21:47,939.13999999999999,53.766666666666666,37.919327596958013,9.7891049936435177,75,24,51,5.6699125306666671,1
2013-07-01 17:21:48,940.20769230769235,52.869230769230768,38.125501257739501,9.5982896112556766,65,22,43,5.5304691661538454,1
2013-07-01 17:21:49,938.18627450980387,51.068627450980394,38.922738956080167,9.3525502446354878,51,18,33,4.7155424666666663,1
2013-07-01 17:21:50,947.1875,170.03749999999999,40.672186599942137,259.70785824579008,40,11,29,5.6095723450000001,1
2013-07-01 17:21:51,964.375,369.01249999999999,42.270761853701046,342.17684525620257,40,13,27,4.1524725450000002,1
2013-07-01 17:21:52,973.57500000000005,663.79999999999995,35.575047074584965,177.51539478201698,40,12,28,2.0308440249999999,1
2013-07-01 17:21:53,968.24107142857144,707.16964285714289,36.507532357462992,23.245581551949414,56,19,37,4.4814579464285709,1
2013-07-01 17:21:54,965.37323943661977,702.64084507042253,37.507210574374362,26.563560311420233,71,24,47,4.9222177183098594,1
2013-07-01 17:21:55,959.0,690.16860465116281,37.198276367405555,30.623771088439021,86,38,48,7.1001618720930244,1
2013-07-01 17:21:56,953.02173913043475,686.11413043478262,36.122799795613943,28.483280546035193,92,44,48,7.8590545760869563,1
2013-07-01 17:21:57,945.83854166666663,686.90625,39.058289422191379,27.98037963889772,96,50,46,8.888778125,1
2013-07-01 17:21:58,944.42857142857144,683.12637362637361,39.047163179684752,28.361710633115891,91,49,42,8.2522655824175821,1
2013-07-01 17:21:59,941.26960784313724,683.80882352941171,37.938895084606152,26.068649290477687,102,58,44,10.350939774509801,1
2013-07-01 17:22:00,939.01485148514848,689.08910891089113,39.112622990893733,23.978052051783223,101,56,45,9.1164613465346545,1
2013-07-01 17:22:01,930.51470588235293,688.85294117647061,40.247160645337296,24.451567427869485,102,58,44,9.5892942254901961,0
2013-07-01 17:22:02,930.85625000000005,685.0625,39.561136292411994,24.285404143855207,80,45,35,9.6794571624999985,0
2013-07-01 17:22:03,926.969696969697,687.5151515151515,39.491467314800587,24.281675537321554,66,38,28,10.704473045454547,0
2013-07-01 17:22:04,919.83749999999998,687.64999999999998,40.371891005170561,26.865095073968593,40,24,16,7.5784929750000005,0
2013-07-01 17:22:05,903.73684210526312,689.76315789473688,36.597043149022774,27.407606619053187,19,12,7,9.3177114210526319,0
2013-07-01 17:22:06,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:22:07,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:22:08,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:22:09,-1,-1,0,0,0,0,0,0,0
2013-07-01 17:22:10,192.25,516.96428571428567,82.910923006840022,67.579430269900953,14,12,2,37.270417142857141,3
2013-07-01 17:22:11,241.34848484848484,489.63636363636363,90.101720714743152,62.807403117496008,33,28,5,37.530645151515159,3
2013-07-01 17:22:12,264.46153846153845,477.75961538461536,90.912252790207802,60.010333291941983,52,44,8,38.674089807692319,3
2013-07-01 17:22:13,264.46153846153845,477.75961538461536,90.912252790207802,60.010333291941983,52,44,8,38.674089807692319,3
2013-07-01 17:22:14,360.359375,477.5703125,219.09971761716315,58.575068318118262,64,54,10,38.220797812500017,3
2013-07-01 17:22:15,506.78767123287673,459.8082191780822,239.06587478094673,53.509320977815094,73,61,12,39.79985397260274,3
2013-07-01 17:22:16,599.26153846153841,448.84615384615387,207.95761113468814,56.757152844716131,65,54,11,40.857797692307692,3
2013-07-01 17:22:17,720.96739130434787,445.42391304347825,84.760342022140023,59.56023723847467,46,38,8,40.939466739130438,3
2013-07-01 17:22:18,661.54918032786884,426.68852459016392,133.65352299004425,68.569621792648604,61,50,11,43.710068032786879,3
2013-07-01 17:22:19,605.83333333333337,399.69841269841271,130.53305723937544,68.060015005883869,63,51,12,45.126585714285724,3
2013-07-01 17:22:20,534.78846153846155,360.91346153846155,112.7144729538892,64.946714294002007,52,42,10,48.487999423076921,3
2013-07-01 17:22:21,514.86666666666667,345.25,105.49407030756042,65.394791945225435,60,49,11,52.911476666666687,3
2013-07-01 17:22:22,528.57058823529417,349.56470588235294,112.16843077597674,69.543570970330038,85,69,16,56.390671647058845,3
2013-07-01 17:22:23,544.55555555555554,347.7037037037037,119.04466073705279,72.386107859941617,81,66,15,58.575803950617292,3
2013-07-01 17:22:24,530.40425531914889,360.74468085106383,124.78741657930195,79.319984352236148,94,77,17,60.791061904255329,3
2013-07-01 17:22:25,530.20967741935488,359.24731182795699,127.15548772075664,81.973836747912756,93,76,17,62.606681924731198,3
2013-07-01 17:22:26,537.31609195402302,357.25862068965517,134.66668833583265,83.090622356898848,87,71,16,62.779374126436771,3
2013-07-01 17:22:27,561.00952380952378,360.72380952380951,131.05347889889012,74.425555892874428,105,86,19,53.004545133333323,3
2013-07-01 17:22:28,565.3125,355.41071428571428,134.73684938086194,73.20501306757572,112,92,20,52.711642401785738,3
2013-07-01 17:22:29,579.21212121212125,346.71212121212119,131.84499423428343,68.124027456420336,99,81,18,51.718162727272748,3
2013-07-01 17:22:30,574.94444444444446,344.06944444444446,139.59640311712852,67.054847766841306,108,89,19,51.071359629629654,3
2013-07-01 17:22:31,574.58095238095234,344.67142857142858,138.57128344371375,66.27778185886929,105,86,19,49.817948380952394,3
2013-07-01 17:22:32,559.73333333333335,328.27777777777777,147.66615474924166,69.086703021146477,90,74,16,55.719937333333334,3
2013-07-01 17:22:33,545.37037037037032,329.24074074074076,141.94571536721742,68.743777496181067,81,66,15,54.879914074074073,3
2013-07-01 17:22:34,535.80102040816325,320.34693877551018,149.74837554487684,67.517252784173479,98,81,17,54.295299693877553,3
2013-07-01 17:22:35,549.74742268041234,321.44329896907215,143.74877035183025,67.656950103716397,97,80,17,53.031836701030912,3
2013-07-01 17:22:36,537.19711538461536,321.65865384615387,142.62219115226753,67.082483078925677,104,86,18,52.584428173076908,3
2013-07-01 17:22:37,518.88725490196077,315.61274509803923,146.65911352019154,64.631625878334248,102,85,17,50.957610686274514,3
2013-07-01 17:22:38,521.84090909090912,315.42272727272729,148.33009202788497,66.33900240582588,110,92,18,51.434819636363621,3
2013-07-01 17:22:39,532.51869158878503,309.88317757009344,167.55148357244863,68.12615169319912,107,89,18,50.635769626168219,3
2013-07-01 17:22:40,546.24038461538464,310.83173076923077,174.14924941467677,69.638059095908616,104,86,18,52.84046153846154,3
2013-07-01 17:22:41,609.97787610619469,298.97787610619469,191.95218188695608,71.536497596023921,113,93,20,52.224343221238925,3
2013-07-01 17:22:42,671.45833333333337,289.375,188.64159169393801,74.712881103620532,108,89,19,52.581412999999984,3
2013-07-01 17:22:43,630.29237288135596,289.28389830508473,210.54634187770162,72.637034619734735,118,98,20,48.854542110169497,3
2013-07-01 17:22:44,609.56696428571433,292.93303571428572,212.20954177305566,73.441509960621062,112,94,18,48.958125616071428,3
2013-07-01 17:22:45,582.33333333333337,294.66250000000002,210.29848068969054,75.056201981464255,120,101,19,48.700909741666671,3
2013-07-01 17:22:46,521.79999999999995,303.89565217391305,190.65416932420266,76.784401275104017,115,98,17,49.736219956521737,3
2013-07-01 17:22:47,472.25423728813558,310.99152542372883,151.72059826917666,74.685579766134438,118,100,18,50.762943771186421,3
2013-07-01 17:22:48,503.38888888888891,310.61538461538464,155.98853449122569,75.394605147922476,117,99,18,52.323612393162406,3
2013-07-01 17:22:49,524.31696428571433,306.14285714285717,159.99638221607688,76.160050432318414,112,95,17,52.042864910714322,3
2013-07-01 17:22:50,525.71367521367517,303.41880341880341,161.84192101425165,73.48266735771179,117,99,18,50.207347863247861,3
2013-07-01 17:22:51,523.45762711864404,304.14830508474574,159.99430513731599,71.653526205034225,118,99,19,49.596620932203386,3
2013-07-01 17:22:52,516.07627118644064,303.97457627118644,163.87188328992156,72.463868021396323,118,100,18,49.012072711864391,3
2013-07-01 17:22:53,517.24545454545455,303.46363636363634,167.3815991971384,72.296843139517222,110,93,17,49.881554272727264,3
2013-07-01 17:22:54,520.02688172043008,305.77419354838707,165.33859142074706,71.23405680239857,93,78,15,49.761743333333342,3
2013-07-01 17:22:55,513.3359375,305.6015625,169.27103406581506,71.943274594812564,64,54,10,49.342800624999995,0
2013-07-01 17:22:56,519.5,301.67857142857144,176.19480626879317,72.544000224974639,42,36,6,49.967593571428573,0
2013-07-01 17:22:57,560.11111111111109,310.38888888888891,159.65012808855752,69.547604423486433,18,15,3,49.156444999999991,0
2013-07-01 17:22:58,71.75,578.0,0.88034084308295046,3.3615472627943221,6,5,1,1.6671998333333333,0
2013-07-01 17:22:59,68.298387096774192,556.80645161290317,1.3862902418271519,14.658784318432277,62,61,1,0.88156075806451617,5
2013-07-01 17:23:00,68.543859649122808,537.92105263157896,1.4490787484002816,24.219002535981936,114,113,1,0.79965921578947352,5
2013-07-01 17:23:01,70.585294117647052,517.2088235294118,3.2861672025929081,36.362233867876967,170,169,1,0.79944052117647035,5
2013-07-01 17:23:02,72.752173913043478,493.72826086956519,4.6475677599319631,51.213410255277218,230,229,1,0.85071856695652148,5
2013-07-01 17:23:03,75.240282685512369,463.55123674911658,6.4239028307859574,70.845163978237224,283,283,0,0.89234251378091856,5
2013-07-01 17:23:04,78.976785714285711,416.35892857142858,6.6567396809341428,74.948756153969185,280,280,0,0.87500244214285716,5
2013-07-01 17:23:05,82.456521739130437,373.768115942029,5.2120413941248938,72.958859127351275,276,276,0,0.86411702971014459,5
2013-07-01 17:23:06,84.769811320754712,331.20188679245285,3.5762571907748226,64.617360021309267,265,265,0,0.8392684158490562,5
2013-07-01 17:23:07,86.006024096385545,289.10040160642569,1.9242101059072281,49.176504436038769,249,249,0,0.75774295582329287,5
2013-07-01 17:23:08,85.740585774058573,251.79288702928869,2.08326295252827,44.0773526475894,239,239,0,0.67283320502092059,5
2013-07-01 17:23:09,85.946581196581192,219.42735042735043,2.6716459578843987,43.872853992111686,234,234,0,0.66024033333333287,5
2013-07-01 17:23:10,87.664444444444442,193.08666666666667,5.6465521858300232,40.301545300043109,225,225,0,0.6473470773333333,5
2013-07-01 17:23:11,92.266816143497763,168.74439461883409,10.611245615435044,35.81096707130812,223,223,0,0.63615912825112164,5
2013-07-01 17:23:12,101.31111111111112,147.2488888888889,17.073661605962549,27.63683991767002,225,225,0,0.62974183466666711,5
2013-07-01 17:23:13,114.51388888888889,131.07175925925927,22.43947501078603,18.083159032966037,216,216,0,0.58031836666666681,5
2013-07-01 17:23:14,135.91891891891891,121.37162162162163,30.684133042102275,10.401355466884601,222,222,0,0.6130765801801803,5
2013-07-01 17:23:15,161.53541666666666,120.90000000000001,40.358692424544294,8.8298893315089142,240,240,0,0.67504490666666606,5
2013-07-01 17:23:16,189.108,126.346,44.976347376072852,15.085808246221582,250,250,0,0.68307064479999868,5
2013-07-01 17:23:17,218.12403100775194,136.53875968992247,45.204551568624538,20.994034024062724,258,258,0,0.69570657829457272,5
2013-07-01 17:23:18,243.60037174721191,148.67100371747213,43.258391040163218,23.733999624334245,269,269,0,0.69507171895910735,5
2013-07-01 17:23:19,273.26481481481483,165.73888888888888,39.13273645214759,24.460714399761848,270,270,0,0.69054005925925876,5
2013-07-01 17:23:20,302.67222222222222,185.30000000000001,38.842654746517098,27.069557930316265,270,270,0,0.70501174740740624,5
2013-07-01 17:23:21,329.44237918215612,204.62825278810408,40.480664118226848,30.370032932054443,269,269,0,0.70522751003717343,5
2013-07-01 17:23:22,356.97416974169744,225.54428044280442,40.979774559155778,32.445508085762498,271,271,0,0.72364946789667739,5
2013-07-01 17:23:23,384.78363636363639,248.49818181818182,41.632971228317807,35.17631549586504,275,275,0,0.7753565061818164,5
2013-07-01 17:23:24,414.13537906137185,274.57581227436822,41.213331233026928,37.598730318055317,277,277,0,0.79897892274368043,5
2013-07-01 17:23:25,443.25912408759126,302.58211678832117,41.373338293812878,41.659833976281853,274,274,0,0.79492127299269832,5
2013-07-01 17:23:26,471.69892473118279,331.93189964157705,43.571272533706754,46.822648938015242,279,279,0,0.83185949534049908,5
2013-07-01 17:23:27,503.22064056939502,365.04448398576511,44.729896533234999,48.553696120531498,281,281,0,0.85565302775800434,5
2013-07-01 17:23:28,532.44483985765123,396.57117437722422,44.161751995921108,47.693012984550322,281,281,0,0.82778300996441068,5
2013-07-01 17:23:29,564.68309859154931,430.03169014084506,44.864656258323429,45.351754957208769,284,284,0,0.84954039436619433,5
2013-07-01 17:23:30,598.39619377162626,460.68858131487889,50.001211298284055,43.972291319456076,289,289,0,0.86107199031141679,5
2013-07-01 17:23:31,631.97719298245613,489.28947368421052,52.037215885972586,41.614548699395911,285,285,0,0.84722857964912046,5
2013-07-01 17:23:32,666.15248226950359,514.56914893617022,53.358735014591026,36.526614953822985,282,282,0,0.81893774184396917,5
2013-07-01 17:23:33,695.48320895522386,529.91977611940297,47.794412819702359,25.803639465926555,268,268,0,0.80038924179104343,5
2013-07-01 17:23:34,726.70881226053643,535.92720306513411,37.448085589962133,18.256096648500733,261,261,0,0.76294460306513334,5
2013-07-01 17:23:35,749.41935483870964,530.33870967741939,27.178215786677708,26.880079193291692,248,248,0,0.70275308870967723,5
2013-07-01 17:23:36,765.33755274261603,513.77004219409287,18.410801428503223,36.74377136767886,237,237,0,0.68223537721518979,5
2013-07-01 17:23:37,777.0622317596567,485.00643776824035,11.147298969170331,40.40264695277142,233,233,0,0.6754148858369099,5
2013-07-01 17:23:38,782.88888888888891,456.00823045267492,7.4537139225804356,44.651750890637807,243,243,0,0.71728642139917675,5
2013-07-01 17:23:39,787.30658436213992,420.84362139917698,4.2748589774308599,48.049391668613765,243,243,0,0.70603356707818909,5
2013-07-01 17:23:40,789.82127659574473,392.55531914893618,2.5478276460143183,47.63255372722741,235,235,0,0.69305678638297863,5
2013-07-01 17:23:41,791.38796680497921,361.13900414937757,2.1884879709287146,50.175861284793193,241,241,0,0.72252693112033195,5
2013-07-01 17:23:42,792.92887931034488,328.57327586206895,2.6433585063557157,46.428470064307625,232,232,0,0.70403490172413785,5
2013-07-01 17:23:43,795.08447488584477,299.03881278538813,3.395347068917709,40.875113000507248,219,219,0,0.68198978812785371,5
2013-07-01 17:23:44,797.60659898477161,272.46700507614213,4.1639006323562588,35.025722001108697,197,197,0,0.64660071675126918,5
2013-07-01 17:23:45,800.13970588235293,245.54411764705881,4.6337636355691485,36.455290313320134,204,204,0,0.69752232745098031,5
2013-07-01 17:23:46,802.62021857923503,222.45901639344262,3.7744479192112759,33.98726673514804,183,183,0,0.64350987540983606,5
2013-07-01 17:23:47,803.84943181818187,199.76420454545453,2.7021260869251371,32.094455639443545,176,176,0,0.63736659545454566,5
2013-07-01 17:23:48,799.79166666666663,180.4638888888889,9.9269503663219254,25.010949030059486,180,180,0,0.64186261222222218,5
2013-07-01 17:23:49,783.95913461538464,172.09134615384616,26.078606799076336,15.020720700187089,208,208,0,0.71501360096153777,5
2013-07-01 17:23:50,763.43023255813955,173.82558139534885,34.802812586978106,16.385856863498315,215,215,0,0.71019834418604622,5
2013-07-01 17:23:51,741.97950819672133,186.33811475409837,40.335725749930511,27.331892127977945,244,244,0,0.7250149950819661,5
2013-07-01 17:23:52,724.20987654320993,198.49176954732511,37.325090507454412,31.497309575456264,243,243,0,0.72849785679012258,5
2013-07-01 17:23:53,705.8469827586207,213.74784482758622,29.96215635376852,30.901007907630078,232,232,0,0.70983662672413783,5
2013-07-01 17:23:54,688.96335078534037,230.80628272251309,20.912504878471687,23.859383287209329,191,191,0,0.64286613507853463,5
2013-07-01 17:23:55,674.60736196319021,246.50920245398774,14.244854207498564,16.203325408639525,163,163,0,0.58424435828220855,5
2013-07-01 17:23:56,661.84074074074078,260.2074074074074,11.744902332096116,10.605789953687474,135,135,0,0.53375073777777771,5
2013-07-01 17:23:57,652.63779527559052,268.33858267716533,11.614283277629013,9.0259506577890249,127,127,0,0.53587676850393695,5
2013-07-01 17:23:58,643.24180327868851,275.31967213114751,12.088556436619331,8.8586385848822307,122,122,0,0.53225433770491781,5
2013-07-01 17:23:59,635.52692307692303,280.26923076923077,13.488052643081947,8.7924284389071268,130,130,0,0.53026945538461523,5
