2013-08-01T22:56:11.408956, touch, charles, 618.5, 399.0, 2.0615527629852295
2013-08-01T22:56:11.425352, touch, charles, 616.0, 400.0, 2.692582368850708
2013-08-01T22:56:11.439828, touch, charles, 613.5, 400.5, 2.5495097637176514
2013-08-01T22:56:11.455355, touch, charles, 611.0, 401.5, 2.692582368850708
2013-08-01T22:56:11.476291, touch, charles, 608.0, 402.5, 3.1622776985168457
2013-08-01T22:56:11.489082, touch, charles, 605.0, 403.0, 3.041381359100342
2013-08-01T22:56:11.509403, touch, charles, 602.0, 404.0, 3.1622776985168457
2013-08-01T22:56:11.525316, touch, charles, 598.0, 405.0, 4.123105525970459
2013-08-01T22:56:11.542164, touch, charles, 594.0, 405.0, 4.0
2013-08-01T22:56:11.557153, touch, charles, 589.5, 406.5, 4.7434163093566895
2013-08-01T22:56:11.570988, touch, charles, 585.0, 407.0, 4.527692794799805
2013-08-01T22:56:11.595144, touch, charles, 579.5, 407.5, 5.522680282592773
2013-08-01T22:56:11.608954, touch, charles, 573.5, 408.5, 6.082762718200684
2013-08-01T22:56:11.623042, touch, charles, 566.0, 410.0, 7.648529052734375
2013-08-01T22:56:11.642213, touch, charles, 561.0, 410.5, 5.024937629699707
2013-08-01T22:56:11.659560, touch, charles, 554.5, 411.5, 6.576473236083984
2013-08-01T22:56:11.673304, touch, charles, 548.5, 413.5, 6.324555397033691
2013-08-01T22:56:11.687672, touch, charles, 542.5, 415.0, 6.184658527374268
2013-08-01T22:56:11.710662, touch, charles, 536.5, 415.5, 6.020797252655029
2013-08-01T22:56:11.723366, touch, charles, 532.0, 417.0, 4.7434163093566895
2013-08-01T22:56:11.740756, touch, charles, 526.5, 418.5, 5.7008771896362305
2013-08-01T22:56:11.756921, touch, charles, 522.0, 420.0, 4.7434163093566895
2013-08-01T22:56:11.774580, touch, charles, 518.0, 422.0, 4.4721360206604
2013-08-01T22:56:11.789056, touch, charles, 514.5, 424.0, 4.031128883361816
2013-08-01T22:56:11.805853, touch, charles, 511.5, 426.0, 3.605551242828369
2013-08-01T22:56:11.829404, touch, charles, 508.5, 428.5, 3.9051249027252197
2013-08-01T22:56:11.843940, touch, charles, 506.0, 430.5, 3.2015621662139893
2013-08-01T22:56:11.858891, touch, charles, 504.0, 433.0, 3.2015621662139893
2013-08-01T22:56:11.878029, touch, charles, 502.0, 435.0, 2.8284270763397217
2013-08-01T22:56:11.892078, touch, charles, 500.0, 438.0, 3.605551242828369
2013-08-01T22:56:11.907553, touch, charles, 498.0, 440.5, 3.2015621662139893
2013-08-01T22:56:11.922200, touch, charles, 496.5, 443.0, 2.915475845336914
2013-08-01T22:56:11.946434, touch, charles, 495.0, 446.0, 3.3541018962860107
2013-08-01T22:56:11.956815, touch, charles, 493.5, 448.5, 2.915475845336914
2013-08-01T22:56:11.972645, touch, charles, 492.0, 451.5, 3.3541018962860107
2013-08-01T22:56:11.989118, touch, charles, 490.5, 454.0, 2.915475845336914
2013-08-01T22:56:12.020257, touch, charles, 490.0, 456.5, 2.5495097637176514
2013-08-01T22:56:12.024958, touch, charles, 489.0, 458.5, 2.2360680103302
