2013-08-02T15:10:50.288165, touch, yvonne, 509.0, 395.5, 8.381526947021484
2013-08-02T15:10:50.304867, touch, yvonne, 499.5, 393.0, 9.823441505432129
2013-08-02T15:10:50.321483, touch, yvonne, 490.5, 393.0, 9.0
2013-08-02T15:10:50.331486, touch, yvonne, 480.5, 393.0, 10.0
2013-08-02T15:10:50.355751, touch, yvonne, 468.5, 393.0, 12.0
2013-08-02T15:10:50.374709, touch, yvonne, 458.0, 393.0, 10.5
2013-08-02T15:10:50.389471, touch, yvonne, 447.0, 395.5, 11.280513763427734
2013-08-02T15:10:50.402372, touch, yvonne, 437.0, 399.5, 10.770329475402832
2013-08-02T15:10:50.425548, touch, yvonne, 427.5, 402.5, 9.96242904663086
2013-08-02T15:10:50.433376, touch, yvonne, 417.0, 405.0, 10.793516159057617
2013-08-02T15:10:50.449921, touch, yvonne, 407.0, 408.0, 10.440306663513184
2013-08-02T15:10:50.473390, touch, yvonne, 398.0, 410.0, 9.219544410705566
2013-08-02T15:10:50.482446, touch, yvonne, 390.0, 411.0, 8.062257766723633
2013-08-02T15:10:50.500071, touch, yvonne, 382.5, 411.5, 7.516648292541504
2013-08-02T15:10:50.523131, touch, yvonne, 377.0, 411.5, 5.5
2013-08-02T15:10:50.539955, touch, yvonne, 371.5, 411.5, 5.5
2013-08-02T15:10:50.548699, touch, yvonne, 368.0, 409.5, 4.031128883361816
2013-08-02T15:10:50.568087, touch, yvonne, 365.0, 404.5, 5.830951690673828
2013-08-02T15:10:50.594884, touch, yvonne, 363.5, 397.0, 7.648529052734375
2013-08-02T15:10:50.606692, touch, yvonne, 363.0, 390.5, 6.51920223236084
2013-08-02T15:10:50.618146, touch, yvonne, 363.0, 381.0, 9.5
2013-08-02T15:10:50.633843, touch, yvonne, 363.0, 372.5, 8.5
2013-08-02T15:10:50.669157, touch, yvonne, 365.5, 365.0, 7.905694007873535
2013-08-02T15:10:50.669384, touch, yvonne, 369.0, 358.0, 7.82623815536499
2013-08-02T15:10:50.684943, touch, yvonne, 373.5, 351.5, 7.905694007873535
2013-08-02T15:10:50.705042, touch, yvonne, 377.5, 346.0, 6.8007354736328125
2013-08-02T15:10:50.715773, touch, yvonne, 382.5, 341.5, 6.72681188583374
