2013-07-31T13:33:32.688101, /metatone/online, charles
2013-07-31T13:33:34.777337, touch, charles, 732.0, 347.5, 0.0
2013-07-31T13:33:34.777594, touch, charles, 724.0, 345.5, 8.246211051940918
2013-07-31T13:33:34.777797, touch, charles, 721.0, 345.5, 3.0
2013-07-31T13:33:34.777998, touch, charles, 717.5, 347.5, 4.031128883361816
2013-07-31T13:33:34.778187, touch, charles, 714.5, 350.5, 4.242640495300293
2013-07-31T13:33:34.778381, touch, charles, 712.0, 352.5, 3.2015621662139893
2013-07-31T13:33:34.778572, touch, charles, 710.5, 353.5, 1.8027756214141846
2013-07-31T13:33:34.778762, touch, charles, 708.5, 353.5, 2.0
2013-07-31T13:33:34.779474, touch, charles, 705.5, 353.5, 3.0
2013-07-31T13:33:34.779699, touch, charles, 703.0, 353.5, 2.5
2013-07-31T13:33:34.779887, touch, charles, 700.5, 353.5, 2.5
2013-07-31T13:33:34.780031, touch, charles, 698.5, 352.0, 2.5
2013-07-31T13:33:34.781256, touch, charles, 696.5, 351.0, 2.2360680103302
2013-07-31T13:33:34.781649, touch, charles, 694.0, 349.5, 2.915475845336914
2013-07-31T13:33:34.781810, touch, charles, 691.0, 349.0, 3.041381359100342
2013-07-31T13:33:34.783215, touch, charles, 688.5, 347.0, 3.2015621662139893
2013-07-31T13:33:34.783379, touch, charles, 686.5, 344.5, 3.2015621662139893
2013-07-31T13:33:34.783548, touch, charles, 685.0, 342.0, 2.915475845336914
2013-07-31T13:33:34.795111, touch, charles, 684.0, 339.0, 3.1622776985168457
2013-07-31T13:33:34.813135, touch, charles, 683.5, 335.0, 4.031128883361816
2013-07-31T13:33:34.830690, touch, charles, 683.5, 331.5, 3.5
2013-07-31T13:33:34.846045, touch, charles, 683.5, 328.0, 3.5
2013-07-31T13:33:34.861507, touch, charles, 683.5, 324.5, 3.5
2013-07-31T13:33:34.877795, touch, charles, 685.0, 321.0, 3.8078866004943848
2013-07-31T13:33:34.901152, touch, charles, 687.5, 318.5, 3.535533905029297
2013-07-31T13:33:34.911285, touch, charles, 690.0, 317.0, 2.915475845336914
2013-07-31T13:33:34.927915, touch, charles, 692.0, 316.0, 2.2360680103302
2013-07-31T13:33:34.946597, touch, charles, 693.5, 315.5, 1.5811388492584229
2013-07-31T13:33:34.962520, touch, charles, 696.0, 315.5, 2.5
2013-07-31T13:33:34.978544, touch, charles, 698.0, 315.5, 2.0
2013-07-31T13:33:34.994094, touch, charles, 701.0, 315.5, 3.0
2013-07-31T13:33:35.016045, touch, charles, 704.5, 315.5, 3.5
2013-07-31T13:33:35.028727, touch, charles, 709.0, 315.5, 4.5
2013-07-31T13:33:35.044601, touch, charles, 714.0, 315.5, 5.0
2013-07-31T13:33:35.067026, touch, charles, 718.5, 316.0, 4.527692794799805
2013-07-31T13:33:35.084032, touch, charles, 723.0, 317.5, 4.7434163093566895
2013-07-31T13:33:35.094577, touch, charles, 728.5, 320.0, 6.041522979736328
2013-07-31T13:33:35.110546, touch, charles, 734.0, 323.5, 6.51920223236084
2013-07-31T13:33:35.132167, touch, charles, 740.0, 326.5, 6.7082037925720215
