2013-08-03T11:47:46.037520, touch, christina, 496.5, 319.0, 5.5
2013-08-03T11:47:46.051062, touch, christina, 501.0, 319.0, 4.5
2013-08-03T11:47:46.066930, touch, christina, 506.5, 320.0, 5.590169906616211
2013-08-03T11:47:46.083657, touch, christina, 511.0, 322.5, 5.147815227508545
2013-08-03T11:47:46.100880, touch, christina, 515.0, 325.0, 4.7169904708862305
2013-08-03T11:47:46.119812, touch, christina, 519.0, 328.5, 5.315073013305664
2013-08-03T11:47:46.135566, touch, christina, 523.5, 332.0, 5.7008771896362305
2013-08-03T11:47:46.153367, touch, christina, 527.5, 335.5, 5.315073013305664
2013-08-03T11:47:46.166257, touch, christina, 532.5, 341.0, 7.433034420013428
2013-08-03T11:47:46.182982, touch, christina, 537.0, 346.5, 7.106335163116455
2013-08-03T11:47:46.199593, touch, christina, 541.0, 351.5, 6.4031243324279785
2013-08-03T11:47:46.222488, touch, christina, 545.5, 357.0, 7.106335163116455
2013-08-03T11:47:46.233749, touch, christina, 550.5, 362.5, 7.433034420013428
2013-08-03T11:47:46.248944, touch, christina, 556.5, 369.0, 8.845903396606445
2013-08-03T11:47:46.269823, touch, christina, 561.5, 374.5, 7.433034420013428
2013-08-03T11:47:46.282368, touch, christina, 567.0, 379.0, 7.106335163116455
2013-08-03T11:47:46.300825, touch, christina, 572.5, 383.5, 7.106335163116455
2013-08-03T11:47:46.319163, touch, christina, 578.0, 388.0, 7.106335163116455
2013-08-03T11:47:46.339338, touch, christina, 583.5, 392.0, 6.8007354736328125
2013-08-03T11:47:46.349359, touch, christina, 589.0, 396.5, 7.106335163116455
2013-08-03T11:47:46.365876, touch, christina, 594.5, 400.5, 6.8007354736328125
2013-08-03T11:47:46.385226, touch, christina, 599.0, 403.0, 5.147815227508545
2013-08-03T11:47:46.400112, touch, christina, 605.0, 406.0, 6.7082037925720215
2013-08-03T11:47:46.423156, touch, christina, 611.0, 407.5, 6.184658527374268
2013-08-03T11:47:46.431557, touch, christina, 616.0, 409.5, 5.385164737701416
2013-08-03T11:47:46.455080, touch, christina, 623.0, 410.0, 7.017834186553955
2013-08-03T11:47:46.466493, touch, christina, 629.5, 410.0, 6.5
2013-08-03T11:47:46.482013, touch, christina, 636.0, 410.0, 6.5
2013-08-03T11:47:46.501772, touch, christina, 643.0, 410.0, 7.0
2013-08-03T11:47:46.516792, touch, christina, 651.5, 408.0, 8.732124328613281
2013-08-03T11:47:46.532275, touch, christina, 659.5, 405.5, 8.381526947021484
2013-08-03T11:47:46.553291, touch, christina, 667.0, 401.5, 8.5
2013-08-03T11:47:46.570891, touch, christina, 674.0, 396.5, 8.602325439453125
2013-08-03T11:47:46.581476, touch, christina, 680.0, 392.0, 7.5
2013-08-03T11:47:46.597881, touch, christina, 684.5, 386.5, 7.106335163116455
2013-08-03T11:47:46.617764, touch, christina, 687.5, 382.5, 5.0
2013-08-03T11:47:46.631411, touch, christina, 690.0, 377.0, 6.041522979736328
2013-08-03T11:47:46.648245, touch, christina, 691.5, 373.0, 4.27200174331665
