19.696493, 10.0.1.5, < (/metatone/online) ( 6769FE40-5F64-455B-82D4-814E26986A99)>
21.837981, 10.0.1.5, < (/metatone/switch) ( 6769FE40-5F64-455B-82D4-814E26986A99, loopingOn, NO)>
28.724992, 10.0.1.6, < (/metatone/online) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
29.140573, 10.0.1.6, < (/metatone/switch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, loopingOn, NO)>
204.668605, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 239, 205.5, 11.41271)>
204.687955, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 229, 211, 11.41271)>
204.705361, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 220.5, 217, 10.40433)>
204.722814, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 212, 222, 9.861542)>
204.748433, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 205, 228.5, 9.552486)>
204.755209, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 198.5, 235.5, 9.552486)>
204.771569, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 193, 241, 7.778174)>
204.790991, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 188.5, 248, 8.321658)>
204.810315, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 183, 256.5, 10.12423)>
204.821079, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 181, 263, 6.800735)>
204.840224, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 179.5, 269, 6.184659)>
204.857233, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 178, 276.5, 7.648529)>
204.871665, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 178, 285, 8.5)>
204.884334, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 178, 290.5, 5.5)>
204.902774, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 179.5, 298, 7.648529)>
204.917283, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 184, 305, 8.321658)>
204.939222, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 190, 313, 10)>
204.954415, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 198, 319.5, 10.30776)>
204.968094, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 208.5, 328, 13.50926)>
204.988017, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 220, 335.5, 13.72953)>
205.001695, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 233, 342.5, 14.76482)>
205.021395, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 248.5, 349.5, 17.00735)>
205.034306, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 264.5, 356.5, 17.46425)>
205.061361, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 280.5, 364, 17.6706)>
205.068994, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 297, 368.5, 17.10263)>
205.085750, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 313, 374.5, 17.08801)>
205.103306, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 330.5, 378.5, 17.95132)>
205.121110, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 347.5, 383.5, 17.72005)>
205.134424, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 365.5, 387.5, 18.43909)>
205.152054, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 384, 390.5, 18.74166)>
205.177713, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 402.5, 394, 18.82817)>
205.187615, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 420, 396.5, 17.67767)>
205.201344, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 438, 399.5, 18.24829)>
205.219377, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 456, 401, 18.06239)>
205.244643, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 474, 403, 18.11077)>
205.255482, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 495.5, 403.5, 21.50581)>
205.270967, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 519, 403.5, 23.5)>
205.290446, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 543.5, 403.5, 24.5)>
205.314325, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 571, 403.5, 27.5)>
205.322259, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 598, 403.5, 27)>
205.339020, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 625.5, 401.5, 27.57263)>
205.357487, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 654, 398.5, 28.65746)>
205.367866, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 684, 395.5, 30.14963)>
205.383705, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 713, 391, 29.34706)>
205.405968, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 741.5, 386, 28.93527)>
205.418873, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 773, 378.5, 32.38055)>
205.435958, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 805.5, 371, 33.35416)>
205.452013, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 835.5, 362.5, 31.18092)>
205.469308, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 865.5, 352.5, 31.62278)>
205.485659, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 896, 342.5, 32.09751)>
