time,jonathan,charles,christina,yvonne
2013-08-03 17:38:05,0,7,0,0
2013-08-03 17:38:10,0,7,0,0
2013-08-03 17:38:15,0,6,0,0
2013-08-03 17:38:20,0,6,2,0
2013-08-03 17:38:25,0,4,0,0
2013-08-03 17:38:30,0,7,0,0
2013-08-03 17:38:35,0,5,0,0
2013-08-03 17:38:40,0,7,0,0
2013-08-03 17:38:45,0,5,0,0
2013-08-03 17:38:50,0,5,0,0
2013-08-03 17:38:55,0,8,0,0
2013-08-03 17:39:00,0,7,0,0
2013-08-03 17:39:05,0,5,0,0
2013-08-03 17:39:10,0,7,0,0
2013-08-03 17:39:15,0,6,0,0
2013-08-03 17:39:20,0,6,0,0
2013-08-03 17:39:25,0,7,0,2
2013-08-03 17:39:30,0,6,0,2
2013-08-03 17:39:35,2,7,0,2
2013-08-03 17:39:40,0,7,0,2
2013-08-03 17:39:45,2,6,0,2
2013-08-03 17:39:50,0,8,0,2
2013-08-03 17:39:55,0,6,0,2
2013-08-03 17:40:00,2,6,0,2
2013-08-03 17:40:05,2,6,0,2
2013-08-03 17:40:10,0,6,0,2
2013-08-03 17:40:15,0,6,0,2
2013-08-03 17:40:20,2,6,0,2
2013-08-03 17:40:25,2,7,0,2
2013-08-03 17:40:30,0,7,0,2
2013-08-03 17:40:35,0,7,0,2
2013-08-03 17:40:40,2,7,4,2
2013-08-03 17:40:45,1,7,3,2
2013-08-03 17:40:50,4,6,3,2
2013-08-03 17:40:55,0,6,4,2
2013-08-03 17:41:00,0,7,3,2
2013-08-03 17:41:05,0,7,0,2
2013-08-03 17:41:10,0,7,0,0
2013-08-03 17:41:15,0,5,0,2
2013-08-03 17:41:20,0,7,0,0
2013-08-03 17:41:25,0,7,0,0
2013-08-03 17:41:30,0,7,0,0
2013-08-03 17:41:35,0,6,0,0
2013-08-03 17:41:40,0,6,0,0
2013-08-03 17:41:45,0,7,0,2
2013-08-03 17:41:50,0,7,0,2
2013-08-03 17:41:55,0,5,0,0
2013-08-03 17:42:00,2,7,0,2
2013-08-03 17:42:05,2,6,0,2
2013-08-03 17:42:10,2,6,0,2
2013-08-03 17:42:15,0,5,7,2
2013-08-03 17:42:20,0,5,7,0
2013-08-03 17:42:25,0,2,7,5
2013-08-03 17:42:30,0,0,5,2
2013-08-03 17:42:35,0,0,6,5
2013-08-03 17:42:40,0,0,7,5
2013-08-03 17:42:45,0,0,0,5
2013-08-03 17:42:50,0,0,0,5
2013-08-03 17:42:55,0,0,0,5
2013-08-03 17:43:00,0,0,0,0
2013-08-03 17:43:05,0,0,0,0
2013-08-03 17:43:10,0,0,0,0
2013-08-03 17:43:15,0,2,0,0
2013-08-03 17:43:20,0,0,0,0
2013-08-03 17:43:25,0,0,0,0
2013-08-03 17:43:30,0,0,0,0
2013-08-03 17:43:35,0,0,0,0
2013-08-03 17:43:40,0,0,0,0
2013-08-03 17:43:45,0,0,0,0
2013-08-03 17:43:50,0,0,0,0
2013-08-03 17:43:55,0,0,0,0
2013-08-03 17:44:00,0,0,0,0
2013-08-03 17:44:05,2,0,0,0
2013-08-03 17:44:10,2,0,0,0
2013-08-03 17:44:15,0,0,0,0
2013-08-03 17:44:20,0,0,0,0
2013-08-03 17:44:25,0,0,0,0
2013-08-03 17:44:30,0,0,0,0
2013-08-03 17:44:35,0,0,2,0
2013-08-03 17:44:40,0,0,2,0
2013-08-03 17:44:45,0,0,0,0
2013-08-03 17:44:50,0,0,0,0
2013-08-03 17:44:55,0,0,0,0
2013-08-03 17:45:00,0,0,0,0
2013-08-03 17:45:05,0,0,0,0
2013-08-03 17:45:10,0,0,0,0
2013-08-03 17:45:15,0,0,0,0
2013-08-03 17:45:20,0,0,0,0
2013-08-03 17:45:25,0,0,0,0
2013-08-03 17:45:30,0,0,8,0
2013-08-03 17:45:35,0,0,3,0
2013-08-03 17:45:40,0,0,6,0
2013-08-03 17:45:45,0,0,5,0
