time,device_id,x_pos,y_pos,velocity
2013-08-03T17:25:33.070618,jonathan,501.5,501.5,0
2013-08-03T17:25:33.474130,jonathan,545,376,0
2013-08-03T17:25:33.691190,jonathan,544,372.5,3.640055
2013-08-03T17:25:33.705397,jonathan,544,371,1.5
2013-08-03T17:25:33.725216,jonathan,544,367.5,3.5
2013-08-03T17:25:34.058036,jonathan,420,252,0
2013-08-03T17:25:34.511238,jonathan,875.5,382,0
2013-08-03T17:25:34.936628,jonathan,594,251,0
2013-08-03T17:25:35.190703,jonathan,463,273.5,0
2013-08-03T17:25:35.373563,jonathan,433,541.5,0
2013-08-03T17:25:35.441031,jonathan,437.5,543,4.743416
2013-08-03T17:25:35.456852,jonathan,440,543.5,2.54951
2013-08-03T17:25:35.473383,jonathan,442,543.5,2
2013-08-03T17:25:35.554832,jonathan,503.5,288.5,0
2013-08-03T17:25:35.740796,jonathan,773,189,0
2013-08-03T17:25:39.061907,jonathan,530.5,582.5,0
2013-08-03T17:25:41.863802,jonathan,442.5,576.5,0
2013-08-03T17:25:42.538101,jonathan,517,441,0
2013-08-03T17:28:49.851836,charles,337.5,400.5,0
2013-08-03T17:28:50.129873,charles,336,397,3.807887
2013-08-03T17:28:50.143360,charles,336,396.5,0.5
2013-08-03T17:28:50.161721,charles,336,395.5,1
2013-08-03T17:28:50.178162,charles,336,395,0.5
2013-08-03T17:28:50.193842,charles,336,393.5,1.5
2013-08-03T17:28:50.223765,charles,336,393,0.5
2013-08-03T17:28:50.225845,charles,336,392,1
2013-08-03T17:28:50.244607,charles,336,391,1
2013-08-03T17:28:50.265293,charles,336,390,1
2013-08-03T17:28:50.278516,charles,336,388.5,1.5
2013-08-03T17:28:50.293620,charles,336,387.5,1
2013-08-03T17:28:50.312681,charles,336,386,1.5
2013-08-03T17:28:50.330221,charles,336,385,1
2013-08-03T17:28:50.343074,charles,336,383.5,1.5
2013-08-03T17:28:50.360838,charles,336,382,1.5
2013-08-03T17:28:50.378390,charles,336,380.5,1.5
2013-08-03T17:28:50.392947,charles,336,378.5,2
2013-08-03T17:28:50.414922,charles,336,377.5,1
2013-08-03T17:28:50.433030,charles,336,375.5,2
2013-08-03T17:28:50.443051,charles,336,373.5,2
2013-08-03T17:28:50.459716,charles,336,372,1.5
2013-08-03T17:28:50.477748,charles,336.5,369.5,2.54951
2013-08-03T17:28:50.494345,charles,337.5,368,1.802776
2013-08-03T17:28:50.510957,charles,338.5,366,2.236068
2013-08-03T17:28:50.526203,charles,339,364,2.061553
2013-08-03T17:28:50.548217,charles,340,362,2.236068
2013-08-03T17:28:50.560205,charles,340.5,360,2.061553
2013-08-03T17:28:50.578269,charles,341.5,359,1.414214
2013-08-03T17:28:50.594939,charles,342,357,2.061553
2013-08-03T17:28:50.611516,charles,343,355.5,1.802776
2013-08-03T17:28:50.635819,charles,343.5,354,1.581139
2013-08-03T17:28:50.645224,charles,344.5,351.5,2.692582
2013-08-03T17:28:50.664768,charles,345.5,350.5,1.414214
2013-08-03T17:28:50.678316,charles,347,349,2.12132
2013-08-03T17:28:50.694520,charles,347.5,347.5,1.581139
2013-08-03T17:28:50.713542,charles,348.5,345,2.692582
2013-08-03T17:28:50.728275,charles,349.5,344,1.414214
2013-08-03T17:28:50.744617,charles,350,343,1.118034
2013-08-03T17:28:50.758355,charles,351,342,1.414214
2013-08-03T17:28:50.782194,charles,352,340.5,1.802776
2013-08-03T17:28:50.795420,charles,352,339,1.5
2013-08-03T17:28:50.811530,charles,353.5,338,1.802776
2013-08-03T17:28:50.826909,charles,354.5,336.5,1.802776
2013-08-03T17:28:50.844891,charles,354.5,334.5,2
2013-08-03T17:28:50.860017,charles,355,334,0.7071068
2013-08-03T17:28:50.876599,charles,356,333,1.414214
2013-08-03T17:28:50.897348,charles,356,332,1
2013-08-03T17:28:50.907999,charles,357,330,2.236068
2013-08-03T17:28:50.933548,charles,358,329,1.414214
2013-08-03T17:28:50.943192,charles,359,327.5,1.802776
2013-08-03T17:28:50.959552,charles,359.5,326,1.581139
2013-08-03T17:28:50.977896,charles,360,325,1.118034
2013-08-03T17:28:51.000544,charles,361.5,324,1.802776
2013-08-03T17:28:51.011430,charles,362.5,322.5,1.802776
2013-08-03T17:28:51.033456,charles,363.5,321,1.802776
2013-08-03T17:28:51.043806,charles,364,319.5,1.581139
2013-08-03T17:28:51.061514,charles,365,318,1.802776
2013-08-03T17:28:51.081377,charles,366,316.5,1.802776
2013-08-03T17:28:51.102046,charles,367,314.5,2.236068
2013-08-03T17:28:51.111605,charles,368,313,1.802776
2013-08-03T17:28:51.144577,charles,369,311,2.236068
2013-08-03T17:28:51.147130,charles,370.5,309.5,2.12132
2013-08-03T17:28:51.160790,charles,373,307.5,3.201562
2013-08-03T17:28:51.176435,charles,374,306,1.802776
2013-08-03T17:28:51.199261,charles,376,304,2.828427
2013-08-03T17:28:51.209278,charles,378.5,302,3.201562
2013-08-03T17:28:51.227108,charles,381,299.5,3.535534
2013-08-03T17:28:51.244639,charles,383.5,298,2.915476
2013-08-03T17:28:51.259574,charles,386,295.5,3.535534
2013-08-03T17:28:51.276557,charles,387.5,293.5,2.5
2013-08-03T17:28:51.292947,charles,389.5,291.5,2.828427
2013-08-03T17:28:51.316104,charles,391,289.5,2.5
2013-08-03T17:28:51.328130,charles,393.5,288.5,2.692582
2013-08-03T17:28:51.343859,charles,395.5,286.5,2.828427
2013-08-03T17:28:51.360522,charles,397,284.5,2.5
2013-08-03T17:28:51.376585,charles,398.5,283,2.12132
2013-08-03T17:28:51.391391,charles,400.5,281,2.828427
2013-08-03T17:28:51.408448,charles,403,279,3.201562
2013-08-03T17:28:51.435151,charles,405,277.5,2.5
2013-08-03T17:28:51.445705,charles,406.5,275.5,2.5
2013-08-03T17:28:51.462458,charles,409,273.5,3.201562
2013-08-03T17:28:51.477843,charles,410.5,271.5,2.5
2013-08-03T17:28:51.494041,charles,412.5,270.5,2.236068
2013-08-03T17:28:51.513502,charles,413.5,269.5,1.414214
2013-08-03T17:28:51.530880,charles,415,268,2.12132
2013-08-03T17:28:51.547484,charles,417,267,2.236068
2013-08-03T17:28:51.558052,charles,418.5,266.5,1.581139
2013-08-03T17:28:51.578508,charles,420,265.5,1.802776
2013-08-03T17:28:51.593511,charles,421,264.5,1.414214
2013-08-03T17:28:51.610624,charles,423,263.5,2.236068
2013-08-03T17:28:51.627387,charles,424.5,263,1.581139
2013-08-03T17:28:51.642655,charles,426.5,262,2.236068
2013-08-03T17:28:51.662161,charles,427.5,261,1.414214
2013-08-03T17:28:51.676277,charles,429.5,260,2.236068
2013-08-03T17:28:51.693292,charles,430.5,259.5,1.118034
2013-08-03T17:28:51.710532,charles,432,259,1.581139
2013-08-03T17:28:51.724635,charles,433,258.5,1.118034
2013-08-03T17:28:51.743098,charles,434.5,258,1.581139
2013-08-03T17:28:51.759675,charles,435.5,257,1.414214
2013-08-03T17:28:51.779754,charles,436.5,257,1
2013-08-03T17:28:51.794618,charles,437,256,1.118034
2013-08-03T17:28:51.809504,charles,438.5,255,1.802776
2013-08-03T17:28:51.826301,charles,439.5,254.5,1.118034
2013-08-03T17:28:51.845327,charles,441,254,1.581139
2013-08-03T17:28:51.860154,charles,442.5,252.5,2.12132
2013-08-03T17:28:51.876748,charles,444.5,252,2.061553
2013-08-03T17:28:51.894637,charles,446,251,1.802776
2013-08-03T17:28:51.910464,charles,447,250,1.414214
2013-08-03T17:28:51.927256,charles,449,249.5,2.061553
2013-08-03T17:28:51.943527,charles,450.5,248,2.12132
2013-08-03T17:28:51.964296,charles,452,247,1.802776
2013-08-03T17:28:51.976944,charles,453.5,246.5,1.581139
2013-08-03T17:28:51.993802,charles,455,245,2.12132
2013-08-03T17:28:52.012228,charles,456.5,244,1.802776
2013-08-03T17:28:52.038677,charles,458,242.5,2.12132
2013-08-03T17:28:52.047269,charles,459,242,1.118034
2013-08-03T17:28:52.058358,charles,461,240.5,2.5
2013-08-03T17:28:52.081613,charles,462.5,239.5,1.802776
2013-08-03T17:28:52.092544,charles,464,238,2.12132
2013-08-03T17:28:52.112023,charles,466,237.5,2.061553
