211.293620, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 387.5, 1)>
211.312681, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 386, 1.5)>
211.330221, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 385, 1)>
211.343074, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 383.5, 1.5)>
211.360838, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 382, 1.5)>
211.378390, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 380.5, 1.5)>
211.392947, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 378.5, 2)>
211.414922, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 377.5, 1)>
211.433030, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 375.5, 2)>
211.443051, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 373.5, 2)>
211.459716, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336, 372, 1.5)>
211.477748, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 336.5, 369.5, 2.54951)>
211.494345, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 337.5, 368, 1.802776)>
211.510957, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 338.5, 366, 2.236068)>
211.526203, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 339, 364, 2.061553)>
211.548217, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 340, 362, 2.236068)>
211.560205, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 340.5, 360, 2.061553)>
211.578269, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 341.5, 359, 1.414214)>
211.594939, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 342, 357, 2.061553)>
211.611516, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 343, 355.5, 1.802776)>
211.635819, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 343.5, 354, 1.581139)>
211.645224, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 344.5, 351.5, 2.692582)>
211.664768, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 345.5, 350.5, 1.414214)>
211.678316, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 347, 349, 2.12132)>
211.694520, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 347.5, 347.5, 1.581139)>
211.713542, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 348.5, 345, 2.692582)>
211.728275, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 349.5, 344, 1.414214)>
211.744617, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 350, 343, 1.118034)>
211.758355, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 351, 342, 1.414214)>
211.782194, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 352, 340.5, 1.802776)>
211.795420, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 352, 339, 1.5)>
211.811530, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 353.5, 338, 1.802776)>
211.826909, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 354.5, 336.5, 1.802776)>
211.844891, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 354.5, 334.5, 2)>
211.860017, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 355, 334, 0.7071068)>
211.876599, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 356, 333, 1.414214)>
211.897348, 10.0.1.4, < (/metatone/touch) ( 2678456D-9AE7-4DCC-A561-688A4766C325, 356, 332, 1)>
