time,device_id,x_pos,y_pos,velocity
2013-04-20T14:58:52.253862,christina,444.5,592.5,0
2013-04-20T14:58:59.511832,jonathan,736.5,349.5,0
2013-04-20T14:59:07.043992,charles,927.5,47.5,0
2013-04-20T14:59:07.331368,charles,921,43,7.9056940078735
2013-04-20T14:59:07.349199,charles,920.5,43,0.5
2013-04-20T14:59:07.365448,charles,920,43,0.5
2013-04-20T14:59:07.379685,charles,919,43,1
2013-04-20T14:59:07.397205,charles,918,43,1
2013-04-20T14:59:07.417796,charles,916.5,43,1.5
2013-04-20T14:59:07.430051,charles,916,43,0.5
2013-04-20T14:59:07.449500,charles,915.5,43,0.5
2013-04-20T14:59:07.467878,charles,914.5,43,1
2013-04-20T14:59:07.480987,charles,913.5,43,1
2013-04-20T14:59:07.498498,charles,913,43,0.5
2013-04-20T14:59:07.512618,charles,912.5,43,0.5
2013-04-20T14:59:07.535413,charles,912,43,0.5
2013-04-20T14:59:07.568836,charles,911,43,1
2013-04-20T14:59:07.582958,charles,910.5,43,0.5
2013-04-20T14:59:07.598476,charles,909.5,43,1
2013-04-20T14:59:07.615914,charles,908.5,44,1.4142135381699
2013-04-20T14:59:07.628626,charles,908,45,1.1180340051651
2013-04-20T14:59:07.652095,charles,906.5,46,1.8027756214142
2013-04-20T14:59:07.663042,charles,906,48,2.0615527629852
2013-04-20T14:59:07.680085,charles,905,49,1.4142135381699
2013-04-20T14:59:07.698682,charles,904.5,50.5,1.5811388492584
2013-04-20T14:59:07.713094,charles,904,53,2.5495097637177
2013-04-20T14:59:07.731186,charles,903.5,54.5,1.5811388492584
2013-04-20T14:59:07.746424,charles,903.5,56.5,2
2013-04-20T14:59:07.768874,charles,903.5,58.5,2
2013-04-20T14:59:07.780189,charles,903.5,60,1.5
2013-04-20T14:59:07.797111,charles,903.5,61.5,1.5
2013-04-20T14:59:07.815630,charles,903.5,62.5,1
2013-04-20T14:59:07.832753,charles,903.5,63.5,1
2013-04-20T14:59:07.846866,charles,903.5,64,0.5
2013-04-20T14:59:07.866410,charles,904,65,1.1180340051651
2013-04-20T14:59:07.885454,charles,905,65.5,1.1180340051651
2013-04-20T14:59:07.898611,charles,906,66.5,1.4142135381699
2013-04-20T14:59:07.913120,charles,907.5,67.5,1.8027756214142
2013-04-20T14:59:07.931790,charles,909.5,69.5,2.8284270763397
2013-04-20T14:59:07.949904,charles,912,71,2.9154758453369
2013-04-20T14:59:07.965999,charles,914.5,72,2.6925823688507
2013-04-20T14:59:07.981671,charles,917.5,73.5,3.354101896286
2013-04-20T14:59:08.002181,charles,920.5,74.5,3.1622776985168
2013-04-20T14:59:08.013845,charles,923.5,75,3.0413813591003
2013-04-20T14:59:08.029695,charles,926,75.5,2.5495097637177
2013-04-20T14:59:08.047254,charles,928.5,76,2.5495097637177
2013-04-20T14:59:08.066071,charles,930.5,76.5,2.0615527629852
2013-04-20T14:59:08.079897,charles,933,76.5,2.5
2013-04-20T14:59:08.098024,charles,934,76.5,1
2013-04-20T14:59:08.118465,charles,935.5,76.5,1.5
2013-04-20T14:59:08.129702,charles,936,76.5,0.5
2013-04-20T14:59:08.147129,charles,937.5,76.5,1.5
2013-04-20T14:59:08.163383,charles,939.5,75.5,2.2360680103302
2013-04-20T14:59:08.185240,charles,942,74,2.9154758453369
2013-04-20T14:59:08.200248,charles,944,72,2.8284270763397
2013-04-20T14:59:08.212982,charles,946,70.5,2.5
2013-04-20T14:59:08.233084,charles,947.5,69,2.1213202476501
2013-04-20T14:59:08.248130,charles,949,67.5,2.1213202476501
2013-04-20T14:59:08.267743,charles,950.5,66,2.1213202476501
2013-04-20T14:59:08.278211,charles,951.5,64.5,1.8027756214142
2013-04-20T14:59:08.303554,charles,952.5,63,1.8027756214142
2013-04-20T14:59:08.314215,charles,954,61.5,2.1213202476501
2013-04-20T14:59:08.329895,charles,954.5,60,1.5811388492584
2013-04-20T14:59:08.349440,charles,955,58,2.0615527629852
2013-04-20T14:59:08.365178,charles,955,56.5,1.5
2013-04-20T14:59:08.379927,charles,955,54.5,2
2013-04-20T14:59:08.395431,charles,955,52.5,2
2013-04-20T14:59:08.418844,charles,955,50,2.5
2013-04-20T14:59:08.431004,charles,954.5,48,2.0615527629852
2013-04-20T14:59:08.448244,charles,953,46,2.5
2013-04-20T14:59:08.464425,charles,950.5,44.5,2.9154758453369
2013-04-20T14:59:08.482470,charles,947.5,41.5,4.2426404953003
2013-04-20T14:59:08.497137,charles,943.5,39.5,4.4721360206604
2013-04-20T14:59:08.513218,charles,938.5,37.5,5.3851647377014
2013-04-20T14:59:08.536020,charles,935,35.5,4.0311288833618
2013-04-20T14:59:08.546355,charles,930.5,34.5,4.6097722053528
2013-04-20T14:59:08.565197,charles,927.5,33.5,3.1622776985168
2013-04-20T14:59:08.593329,charles,923.5,33.5,4
2013-04-20T14:59:08.599136,charles,920,33,3.5355339050293
2013-04-20T14:59:08.613401,charles,916,33,4
2013-04-20T14:59:08.629861,charles,911,33,5
2013-04-20T14:59:08.651111,charles,906,33,5
2013-04-20T14:59:08.665699,charles,901.5,33,4.5
2013-04-20T14:59:08.680398,charles,896.5,33,5
2013-04-20T14:59:08.697138,charles,891,33.5,5.5226802825928
2013-04-20T14:59:08.715554,charles,885.5,36,6.0415229797363
2013-04-20T14:59:08.729879,charles,880.5,38,5.3851647377014
2013-04-20T14:59:08.747298,charles,876.5,40.5,4.7169904708862
2013-04-20T14:59:08.767421,charles,871.5,44.5,6.403124332428
2013-04-20T14:59:08.784911,charles,867,47.5,5.4083271026611
2013-04-20T14:59:08.796547,charles,863.5,50.5,4.6097722053528
2013-04-20T14:59:08.813034,charles,860.5,54.5,5
2013-04-20T14:59:08.832982,charles,857.5,58.5,5
2013-04-20T14:59:08.847735,charles,856.5,62,3.6400549411774
2013-04-20T14:59:08.863587,charles,855,65,3.354101896286
2013-04-20T14:59:08.887062,charles,854.5,68.5,3.5355339050293
2013-04-20T14:59:08.902086,charles,854.5,72,3.5
2013-04-20T14:59:08.914133,charles,854.5,75.5,3.5
2013-04-20T14:59:08.930133,charles,854.5,78.5,3
2013-04-20T14:59:08.953537,charles,854.5,81,2.5
2013-04-20T14:59:08.964201,charles,855,83.5,2.5495097637177
2013-04-20T14:59:09.000168,charles,855.5,85.5,2.0615527629852
2013-04-20T14:59:09.000759,charles,856.5,87,1.8027756214142
2013-04-20T14:59:09.014257,charles,857.5,89,2.2360680103302
2013-04-20T14:59:09.030088,charles,858.5,90.5,1.8027756214142
2013-04-20T14:59:09.046314,charles,860,92,2.1213202476501
2013-04-20T14:59:09.068840,charles,861,93.5,1.8027756214142
2013-04-20T14:59:09.081871,charles,862.5,94.5,1.8027756214142
2013-04-20T14:59:09.100262,charles,867,98,5.7008771896362
2013-04-20T14:59:09.114310,charles,878.5,101.5,12.02081489563
2013-04-20T14:59:14.125051,charles,857,99.5,0
2013-04-20T14:59:14.161492,christina,774,626.5,0
2013-04-20T14:59:14.236441,christina,767,613.5,14.7648229599
2013-04-20T14:59:14.251246,christina,766,610,3.6400549411774
2013-04-20T14:59:14.274222,christina,764,607,3.6055512428284
2013-04-20T14:59:14.286709,christina,762,604.5,3.201562166214
2013-04-20T14:59:14.304576,christina,759.5,599.5,5.5901699066162
2013-04-20T14:59:14.323147,christina,757.5,597,3.201562166214
2013-04-20T14:59:14.337185,christina,755,594,3.9051249027252
2013-04-20T14:59:14.351196,christina,753,590.5,4.0311288833618
2013-04-20T14:59:14.368561,christina,750.5,587.5,3.9051249027252
2013-04-20T14:59:14.371873,charles,852.5,95.5,6.020797252655
2013-04-20T14:59:14.387730,christina,748,583.5,4.7169904708862
2013-04-20T14:59:14.402645,christina,746.5,580,3.8078866004944
2013-04-20T14:59:14.407441,charles,852.5,94,1.5
2013-04-20T14:59:14.419758,christina,744,577,3.9051249027252
2013-04-20T14:59:14.438008,christina,742,573.5,4.0311288833618
2013-04-20T14:59:14.440770,charles,852.5,93,1
2013-04-20T14:59:14.452701,christina,740,570.5,3.6055512428284
2013-04-20T14:59:14.455092,charles,852.5,92.5,0.5
2013-04-20T14:59:14.469392,christina,737.5,567.5,3.9051249027252
2013-04-20T14:59:14.475345,charles,852.5,92,0.5
2013-04-20T14:59:14.484825,christina,735.5,564.5,3.6055512428284
2013-04-20T14:59:14.489843,charles,852.5,91.5,0.5
2013-04-20T14:59:14.503915,charles,852.5,90.5,1
2013-04-20T14:59:14.510187,christina,733,561.5,3.9051249027252
2013-04-20T14:59:14.519564,christina,731,559,3.201562166214
2013-04-20T14:59:14.536391,christina,729,556,3.6055512428284
2013-04-20T14:59:14.539443,charles,852.5,90,0.5
2013-04-20T14:59:14.555683,charles,852.5,89,1
2013-04-20T14:59:14.557955,christina,727,553.5,3.201562166214
2013-04-20T14:59:14.568782,christina,725,551,3.201562166214
2013-04-20T14:59:14.587117,christina,723,548.5,3.201562166214
2013-04-20T14:59:14.594688,charles,852.5,88,1
2013-04-20T14:59:14.601902,christina,721,546,3.201562166214
2013-04-20T14:59:14.606686,charles,852.5,87.5,0.5
2013-04-20T14:59:14.622265,charles,853,87,0.70710676908493
2013-04-20T14:59:14.625018,christina,718.5,543.5,3.5355339050293
2013-04-20T14:59:14.636323,christina,716,540,4.3011627197266
2013-04-20T14:59:14.641223,charles,853.5,86.5,0.70710676908493
2013-04-20T14:59:14.652309,christina,713.5,537,3.9051249027252
2013-04-20T14:59:14.657348,charles,854,86,0.70710676908493
2013-04-20T14:59:14.671629,christina,711,534,3.9051249027252
2013-04-20T14:59:14.673872,charles,855,85,1.4142135381699
2013-04-20T14:59:14.686436,christina,708.5,531.5,3.5355339050293
2013-04-20T14:59:14.703592,christina,706.5,529,3.201562166214
2013-04-20T14:59:14.711116,charles,856,84.5,1.1180340051651
2013-04-20T14:59:14.722378,christina,704,527,3.201562166214
2013-04-20T14:59:14.737413,charles,856.5,84,0.70710676908493
2013-04-20T14:59:14.740183,charles,857,83.5,0.70710676908493
2013-04-20T14:59:14.740447,christina,701.5,524.5,3.5355339050293
2013-04-20T14:59:14.753450,christina,699.5,522,3.201562166214
2013-04-20T14:59:14.756167,charles,857.5,83.5,0.5
2013-04-20T14:59:14.769991,christina,697,520,3.201562166214
2013-04-20T14:59:14.772604,charles,858,83,0.70710676908493
2013-04-20T14:59:14.789837,charles,858.5,82.5,0.70710676908493
2013-04-20T14:59:14.790108,christina,695,518,2.8284270763397
2013-04-20T14:59:14.806570,charles,859.5,82,1.1180340051651
2013-04-20T14:59:14.806859,christina,693,516,2.8284270763397
2013-04-20T14:59:14.819782,christina,691,514,2.8284270763397
2013-04-20T14:59:14.827326,charles,860,82,0.5
2013-04-20T14:59:14.834991,christina,689,512,2.8284270763397
2013-04-20T14:59:14.839289,charles,860.5,82,0.5
2013-04-20T14:59:14.858036,charles,861.5,82,1
2013-04-20T14:59:14.860613,christina,687.5,510.5,2.1213202476501
2013-04-20T14:59:14.869808,christina,685,509,2.9154758453369
2013-04-20T14:59:14.872436,charles,862.5,81.5,1.1180340051651
2013-04-20T14:59:14.889100,christina,683.5,507.5,2.1213202476501
2013-04-20T14:59:14.889360,charles,863,81.5,0.5
2013-04-20T14:59:14.901409,christina,682,506,2.1213202476501
