"time","uid","gid","mode","x","y"
80.557930047,1,1,1,0.912109375,0.279947916667,
80.709696107,1,1,1,0.9150390625,0.274739583333,
80.725087772,1,1,1,0.9150390625,0.274088541667,
80.744038312,1,1,1,0.91552734375,0.272135416667,
80.759248094,1,1,1,0.91552734375,0.271484375,
80.774860292,1,1,1,0.916015625,0.270833333333,
80.791387572,1,1,1,0.91650390625,0.270182291667,
80.810024767,1,1,1,0.9169921875,0.270182291667,
80.825311156,1,1,1,0.91748046875,0.270182291667,
80.841335677,1,1,1,0.91748046875,0.26953125,
80.859804421,1,1,1,0.91796875,0.26953125,
80.892207188,1,1,1,0.91845703125,0.26953125,
80.907365351,1,1,1,0.9189453125,0.26953125,
80.928329341,1,1,1,0.919921875,0.268880208333,
80.942144697,1,1,1,0.92041015625,0.268880208333,
80.959927374,1,1,1,0.9208984375,0.268880208333,
80.976282475,1,1,1,0.92138671875,0.268880208333,
80.998339286,1,1,1,0.921875,0.268880208333,
81.012222123,1,1,1,0.9228515625,0.268229166667,
81.046528622,1,1,1,0.92333984375,0.268229166667,
81.060765586,1,1,1,0.923828125,0.268229166667,
81.076956186,1,1,1,0.9248046875,0.268229166667,
81.094086454,1,1,1,0.92529296875,0.268229166667,
81.127563576,1,1,1,0.92626953125,0.268229166667,
81.141324038,1,1,1,0.92724609375,0.268229166667,
81.162852006,1,1,1,0.927734375,0.268229166667,
81.19324593,1,1,1,0.9287109375,0.268229166667,
81.210446636,1,1,1,0.92919921875,0.268229166667,
81.231163296,1,1,1,0.9296875,0.268229166667,
81.244473066,1,1,1,0.93017578125,0.268229166667,
81.261650306,1,1,1,0.9306640625,0.268229166667,
81.279007722,1,1,1,0.93115234375,0.268229166667,
81.294730976,1,1,1,0.931640625,0.268229166667,
81.312761553,1,1,1,0.93212890625,0.268229166667,
81.348193831,1,1,1,0.9326171875,0.268229166667,
81.360856736,1,1,1,0.93359375,0.268880208333,
81.395360319,1,1,1,0.93408203125,0.26953125,
81.410626876,1,1,1,0.9345703125,0.26953125,
81.427192628,1,1,1,0.9345703125,0.270182291667,
81.442542161,1,1,1,0.9345703125,0.270833333333,
81.464051592,1,1,1,0.93505859375,0.271484375,
81.493017581,1,1,1,0.935546875,0.271484375,
81.511451304,1,1,1,0.93603515625,0.272135416667,
81.528232744,1,1,1,0.93603515625,0.272786458333,
81.558580814,1,1,1,0.9365234375,0.2734375,
81.593748912,1,1,1,0.9365234375,0.274088541667,
81.610155029,1,1,1,0.93701171875,0.274088541667,
81.628347891,1,1,1,0.93701171875,0.274739583333,
81.660048381,1,1,1,0.93701171875,0.275390625,
81.675087992,1,1,1,0.93701171875,0.276041666667,
81.710328536,1,1,1,0.9375,0.276692708333,
81.727540523,1,1,1,0.9375,0.27734375,
81.77697068,1,1,1,0.9375,0.277994791667,
81.813127882,1,1,1,0.93798828125,0.278645833333,
81.826875036,1,1,1,0.93798828125,0.279296875,
81.843345265,1,1,1,0.93798828125,0.279947916667,
81.85971256,1,1,1,0.93798828125,0.280598958333,
81.910315256,1,1,1,0.93798828125,0.28125,
81.928650523,1,1,1,0.93798828125,0.281901041667,
81.944721962,1,1,1,0.93798828125,0.282552083333,
81.960208386,1,1,1,0.93798828125,0.283203125,
81.977315841,1,1,1,0.93798828125,0.283854166667,
82.045432401,1,1,1,0.93798828125,0.284505208333,
82.093090589,1,1,1,0.93798828125,0.28515625,
82.126185838,1,1,1,0.93798828125,0.285807291667,
82.143955679,1,1,1,0.93798828125,0.286458333333,
82.176177475,1,1,1,0.93798828125,0.287109375,
82.230484795,1,1,1,0.93798828125,0.287760416667,
82.243870631,1,1,1,0.93798828125,0.288411458333,
82.261025351,1,1,1,0.93798828125,0.2890625,
82.310104475,1,1,1,0.93798828125,0.289713541667,
82.324615919,1,1,1,0.9375,0.290364583333,
82.361140064,1,1,1,0.93701171875,0.291015625,
82.393724533,1,1,1,0.93701171875,0.291666666667,
82.415015094,1,1,1,0.9365234375,0.292317708333,
82.42577213,1,1,1,0.9365234375,0.29296875,
82.443696959,1,1,1,0.93603515625,0.29296875,
82.464043041,1,1,1,0.935546875,0.293619791667,
82.477274341,1,1,1,0.93505859375,0.293619791667,
82.510679956,1,1,1,0.9345703125,0.294270833333,
82.531601016,1,1,1,0.9345703125,0.294921875,
82.543628123,1,1,1,0.93408203125,0.294921875,
82.560468826,1,1,1,0.93359375,0.295572916667,
82.579670008,1,1,1,0.93310546875,0.296223958333,
82.593492849,1,1,1,0.9326171875,0.296223958333,
82.611062174,1,1,1,0.93212890625,0.296875,
82.625912934,1,1,1,0.93212890625,0.297526041667,
82.647695204,1,1,1,0.93115234375,0.298177083333,
82.661334406,1,1,1,0.9306640625,0.298828125,
82.676495146,1,1,1,0.93017578125,0.299479166667,
82.695699986,1,1,1,0.9296875,0.299479166667,
