time,target
2014-12-12T12:05:58.799797,100
2014-12-12T12:05:59.570949,100
2014-12-12T12:05:59.787891,100
2014-12-12T12:05:59.990928,100
2014-12-12T12:06:00.196174,100
2014-12-12T12:06:00.404421,100
2014-12-12T12:06:00.624389,100
2014-12-12T12:06:00.839187,100
2014-12-12T12:06:01.050088,100
2014-12-12T12:06:01.263182,100
2014-12-12T12:06:01.473156,100
2014-12-12T12:06:01.689960,100
2014-12-12T12:06:01.906146,100
2014-12-12T12:06:02.114069,100
2014-12-12T12:06:02.326135,100
2014-12-12T12:06:02.531284,100
2014-12-12T12:06:02.737053,100
2014-12-12T12:06:02.947027,100
2014-12-12T12:06:03.155100,100
2014-12-12T12:06:03.365671,100
2014-12-12T12:06:03.574882,100
2014-12-12T12:06:03.794115,100
2014-12-12T12:06:03.999952,100
2014-12-12T12:06:04.216791,100
2014-12-12T12:06:04.417923,100
2014-12-12T12:06:04.618412,100
2014-12-12T12:06:04.829206,100
2014-12-12T12:06:05.047000,100
2014-12-12T12:06:05.251847,100
2014-12-12T12:06:05.454602,100
2014-12-12T12:06:05.669711,100
2014-12-12T12:06:05.871090,100
2014-12-12T12:06:06.082609,100
2014-12-12T12:06:06.290612,100
2014-12-12T12:06:06.507052,100
2014-12-12T12:06:06.712915,100
2014-12-12T12:06:06.916399,100
2014-12-12T12:06:07.117891,100
2014-12-12T12:06:07.326168,100
2014-12-12T12:06:07.528426,100
2014-12-12T12:06:07.732458,100
2014-12-12T12:06:07.951037,100
2014-12-12T12:06:08.168189,100
2014-12-12T12:06:08.383575,100
2014-12-12T12:06:08.594234,100
2014-12-12T12:06:08.804685,100
2014-12-12T12:06:09.016060,100
2014-12-12T12:06:09.235391,100
2014-12-12T12:06:09.450613,100
2014-12-12T12:06:09.657474,100
2014-12-12T12:06:09.874147,100
2014-12-12T12:06:10.081146,100
2014-12-12T12:06:10.295543,100
2014-12-12T12:06:10.503998,100
2014-12-12T12:06:10.720045,100
2014-12-12T12:06:10.938215,100
2014-12-12T12:06:11.145148,100
2014-12-12T12:06:11.355048,100
2014-12-12T12:06:11.558787,100
2014-12-12T12:06:11.763241,100
2014-12-12T12:06:11.964859,100
2014-12-12T12:06:12.167117,100
2014-12-12T12:06:12.379533,100
2014-12-12T12:06:12.583779,100
2014-12-12T12:06:12.796050,100
2014-12-12T12:06:13.007799,100
2014-12-12T12:06:13.216974,100
2014-12-12T12:06:13.433402,100
2014-12-12T12:06:13.641972,100
2014-12-12T12:06:13.849934,100
2014-12-12T12:06:14.065257,100
2014-12-12T12:06:14.281273,100
2014-12-12T12:06:14.497030,100
2014-12-12T12:06:14.712588,100
2014-12-12T12:06:14.926676,100
2014-12-12T12:06:15.137998,100
2014-12-12T12:06:15.352076,100
2014-12-12T12:06:15.569441,100
2014-12-12T12:06:15.773785,100
2014-12-12T12:06:15.984390,100
2014-12-12T12:06:16.196630,100
2014-12-12T12:06:16.400333,100
2014-12-12T12:06:16.608392,100
2014-12-12T12:06:16.810922,100
2014-12-12T12:06:17.023968,100
2014-12-12T12:06:17.237399,100
2014-12-12T12:06:17.446734,100
2014-12-12T12:06:17.650256,100
2014-12-12T12:06:17.856531,100
2014-12-12T12:06:18.060729,100
2014-12-12T12:06:18.274850,100
2014-12-12T12:06:18.476060,100
2014-12-12T12:06:18.678971,100
2014-12-12T12:06:18.884321,2
2014-12-12T12:06:19.087176,2
2014-12-12T12:06:19.293082,2
2014-12-12T12:06:19.494135,2
2014-12-12T12:06:19.695340,2
2014-12-12T12:06:19.907889,2
2014-12-12T12:06:20.125764,2
2014-12-12T12:06:20.332872,2
2014-12-12T12:06:20.549511,2
2014-12-12T12:06:20.751668,2
2014-12-12T12:06:20.966140,2
2014-12-12T12:06:21.168533,2
2014-12-12T12:06:21.379877,2
2014-12-12T12:06:21.606500,2
2014-12-12T12:06:21.816023,2
2014-12-12T12:06:22.027958,2
2014-12-12T12:06:22.242562,2
2014-12-12T12:06:22.448405,2
2014-12-12T12:06:22.652684,2
2014-12-12T12:06:22.868645,2
2014-12-12T12:06:23.088382,2
2014-12-12T12:06:23.277407,2
2014-12-12T12:06:23.484687,2
2014-12-12T12:06:23.686425,2
2014-12-12T12:06:23.895939,2
2014-12-12T12:06:24.120272,2
2014-12-12T12:06:24.318862,2
2014-12-12T12:06:24.531689,2
2014-12-12T12:06:24.745622,2
2014-12-12T12:06:24.953552,2
2014-12-12T12:06:25.155334,2
2014-12-12T12:06:25.371253,2
2014-12-12T12:06:25.580155,2
2014-12-12T12:06:25.789622,2
2014-12-12T12:06:25.998068,2
2014-12-12T12:06:26.208066,2
2014-12-12T12:06:26.412791,2
2014-12-12T12:06:26.623385,2
2014-12-12T12:06:26.835618,2
2014-12-12T12:06:27.046691,2
2014-12-12T12:06:27.249410,2
2014-12-12T12:06:27.455265,2
2014-12-12T12:06:27.673674,2
2014-12-12T12:06:27.883106,2
2014-12-12T12:06:28.096574,2
2014-12-12T12:06:28.305241,2
2014-12-12T12:06:28.524070,2
2014-12-12T12:06:28.740717,2
2014-12-12T12:06:28.951030,2
2014-12-12T12:06:29.163370,2
2014-12-12T12:06:29.386110,2
2014-12-12T12:06:29.594895,2
2014-12-12T12:06:29.807951,2
2014-12-12T12:06:30.017844,2
2014-12-12T12:06:30.228756,2
2014-12-12T12:06:30.436094,2
2014-12-12T12:06:30.651052,2
2014-12-12T12:06:30.860587,2
2014-12-12T12:06:31.065748,2
2014-12-12T12:06:31.277264,2
2014-12-12T12:06:31.482914,2
2014-12-12T12:06:31.695972,2
2014-12-12T12:06:31.900138,2
2014-12-12T12:06:32.105509,2
2014-12-12T12:06:32.308937,2
2014-12-12T12:06:32.520735,2
2014-12-12T12:06:32.731836,2
2014-12-12T12:06:32.935427,2
2014-12-12T12:06:33.141906,2
2014-12-12T12:06:33.349764,2
2014-12-12T12:06:33.558308,2
2014-12-12T12:06:33.763671,2
2014-12-12T12:06:33.970666,2
2014-12-12T12:06:34.176340,2
2014-12-12T12:06:34.383746,2
2014-12-12T12:06:34.585750,2
2014-12-12T12:06:34.798807,2
2014-12-12T12:06:35.003898,2
2014-12-12T12:06:35.210502,2
2014-12-12T12:06:35.426606,2
2014-12-12T12:06:35.629401,2
2014-12-12T12:06:35.835346,2
2014-12-12T12:06:36.038952,2
2014-12-12T12:06:36.248281,2
2014-12-12T12:06:36.451387,2
2014-12-12T12:06:36.654959,2
2014-12-12T12:06:36.868828,2
2014-12-12T12:06:37.085244,2
2014-12-12T12:06:37.298394,2
2014-12-12T12:06:37.500840,2
2014-12-12T12:06:37.711802,2
2014-12-12T12:06:37.915020,2
2014-12-12T12:06:38.116187,2
2014-12-12T12:06:38.318730,2
2014-12-12T12:06:38.532078,2
2014-12-12T12:06:38.748356,2
2014-12-12T12:06:38.966290,2
2014-12-12T12:06:39.170840,2
2014-12-12T12:06:39.381987,2
2014-12-12T12:06:39.588319,2
2014-12-12T12:06:39.793808,2
2014-12-12T12:06:39.995065,2
2014-12-12T12:06:40.205872,2
2014-12-12T12:06:40.412654,2
2014-12-12T12:06:40.619490,2
2014-12-12T12:06:40.825584,2
2014-12-12T12:06:41.034740,2
2014-12-12T12:06:41.248206,2
2014-12-12T12:06:41.454697,2
2014-12-12T12:06:41.656820,2
2014-12-12T12:06:41.865573,2
2014-12-12T12:06:42.070607,2
2014-12-12T12:06:42.283357,2
2014-12-12T12:06:42.486921,2
2014-12-12T12:06:42.694305,2
2014-12-12T12:06:42.913152,2
2014-12-12T12:06:43.121427,2
2014-12-12T12:06:43.332002,2
2014-12-12T12:06:43.538933,2
2014-12-12T12:06:43.751612,2
2014-12-12T12:06:43.958785,2
2014-12-12T12:06:44.163420,2
2014-12-12T12:06:44.372724,2
2014-12-12T12:06:44.580327,2
2014-12-12T12:06:44.788911,2
2014-12-12T12:06:44.995074,2
2014-12-12T12:06:45.206955,2
2014-12-12T12:06:45.411689,2
2014-12-12T12:06:45.617061,2
2014-12-12T12:06:45.831215,2
2014-12-12T12:06:46.045871,2
2014-12-12T12:06:46.258996,2
2014-12-12T12:06:46.471320,2
2014-12-12T12:06:46.681370,2
2014-12-12T12:06:46.893574,2
2014-12-12T12:06:47.095471,2
2014-12-12T12:06:47.301334,2
2014-12-12T12:06:47.505268,2
2014-12-12T12:06:47.721854,2
2014-12-12T12:06:47.932410,2
2014-12-12T12:06:48.135268,2
2014-12-12T12:06:48.344885,2
2014-12-12T12:06:48.551810,2
2014-12-12T12:06:48.766273,2
2014-12-12T12:06:48.970670,2
2014-12-12T12:06:49.189012,2
2014-12-12T12:06:49.390064,2
2014-12-12T12:06:49.597642,2
2014-12-12T12:06:49.812110,2
2014-12-12T12:06:50.018303,2
2014-12-12T12:06:50.223585,2
2014-12-12T12:06:50.427177,2
2014-12-12T12:06:50.630670,2
2014-12-12T12:06:50.840574,2
2014-12-12T12:06:51.050980,2
2014-12-12T12:06:51.257434,2
2014-12-12T12:06:51.466072,2
2014-12-12T12:06:51.677853,2
2014-12-12T12:06:51.893327,2
2014-12-12T12:06:52.096809,2
2014-12-12T12:06:52.303766,2
2014-12-12T12:06:52.513435,2
2014-12-12T12:06:52.732236,2
2014-12-12T12:06:52.937197,2
2014-12-12T12:06:53.156666,2
2014-12-12T12:06:53.371481,2
2014-12-12T12:06:53.581282,2
2014-12-12T12:06:53.790388,2
2014-12-12T12:06:53.998530,2
2014-12-12T12:06:54.208999,2
2014-12-12T12:06:54.415831,2
2014-12-12T12:06:54.624232,2
2014-12-12T12:06:54.840672,2
2014-12-12T12:06:55.043541,2
2014-12-12T12:06:55.253501,2
2014-12-12T12:06:55.465558,2
2014-12-12T12:06:55.673559,2
2014-12-12T12:06:55.891142,2
2014-12-12T12:06:56.104698,2
2014-12-12T12:06:56.307076,2
2014-12-12T12:06:56.511457,2
2014-12-12T12:06:56.726881,2
2014-12-12T12:06:56.930313,2
2014-12-12T12:06:57.134693,2
2014-12-12T12:06:57.347961,2
2014-12-12T12:06:57.548537,2
2014-12-12T12:06:57.768660,2
2014-12-12T12:06:57.971719,2
2014-12-12T12:06:58.174423,2
2014-12-12T12:06:58.386021,2
2014-12-12T12:06:58.594687,2
2014-12-12T12:06:58.803322,2
2014-12-12T12:06:59.010973,2
2014-12-12T12:06:59.222977,2
2014-12-12T12:06:59.430916,2
2014-12-12T12:06:59.635102,2
2014-12-12T12:06:59.845092,2
2014-12-12T12:07:00.052113,2
2014-12-12T12:07:00.264974,2
2014-12-12T12:07:00.467282,2
2014-12-12T12:07:00.669090,2
2014-12-12T12:07:00.881842,2
2014-12-12T12:07:01.083960,2
2014-12-12T12:07:01.292772,2
2014-12-12T12:07:01.509802,2
2014-12-12T12:07:01.718358,2
2014-12-12T12:07:01.935395,2
2014-12-12T12:07:02.138725,2
2014-12-12T12:07:02.345785,2
2014-12-12T12:07:02.550115,2
2014-12-12T12:07:02.759286,2
2014-12-12T12:07:02.976602,2
2014-12-12T12:07:03.189764,2
2014-12-12T12:07:03.400005,2
2014-12-12T12:07:03.607635,2
2014-12-12T12:07:03.816803,2
2014-12-12T12:07:04.029716,2
2014-12-12T12:07:04.231406,2
2014-12-12T12:07:04.434429,2
2014-12-12T12:07:04.639941,2
2014-12-12T12:07:04.841146,2
2014-12-12T12:07:05.050548,2
2014-12-12T12:07:05.265171,2
2014-12-12T12:07:05.479231,2
2014-12-12T12:07:05.688927,2
2014-12-12T12:07:05.901322,2
2014-12-12T12:07:06.113179,2
2014-12-12T12:07:06.330118,2
2014-12-12T12:07:06.531607,2
2014-12-12T12:07:06.747754,2
2014-12-12T12:07:06.963654,2
2014-12-12T12:07:07.173771,2
2014-12-12T12:07:07.376515,2
2014-12-12T12:07:07.580539,2
2014-12-12T12:07:07.782185,2
2014-12-12T12:07:07.983320,2
2014-12-12T12:07:08.192144,2
2014-12-12T12:07:08.394679,2
2014-12-12T12:07:08.609039,2
2014-12-12T12:07:08.818324,2
2014-12-12T12:07:09.024939,2
2014-12-12T12:07:09.238765,2
2014-12-12T12:07:09.449643,2
2014-12-12T12:07:09.659093,2
2014-12-12T12:07:09.871185,2
2014-12-12T12:07:10.088212,2
2014-12-12T12:07:10.290323,2
2014-12-12T12:07:10.506740,2
2014-12-12T12:07:10.717554,2
2014-12-12T12:07:10.928162,2
2014-12-12T12:07:11.135764,2
2014-12-12T12:07:11.349026,2
2014-12-12T12:07:11.556936,2
2014-12-12T12:07:11.772290,2
2014-12-12T12:07:11.987056,2
2014-12-12T12:07:12.203479,2
2014-12-12T12:07:12.408593,2
2014-12-12T12:07:12.609557,2
2014-12-12T12:07:12.812804,2
2014-12-12T12:07:13.025518,2
2014-12-12T12:07:13.227994,2
2014-12-12T12:07:13.441734,2
2014-12-12T12:07:13.659605,2
2014-12-12T12:07:13.877369,2
2014-12-12T12:07:14.090648,2
2014-12-12T12:07:14.297716,2
2014-12-12T12:07:14.501276,2
2014-12-12T12:07:14.716536,2
2014-12-12T12:07:14.930696,2
2014-12-12T12:07:15.140883,2
2014-12-12T12:07:15.350302,2
2014-12-12T12:07:15.560243,2
2014-12-12T12:07:15.762830,2
2014-12-12T12:07:15.977996,2
2014-12-12T12:07:16.188125,2
2014-12-12T12:07:16.395649,2
2014-12-12T12:07:16.604471,2
2014-12-12T12:07:16.824180,2
2014-12-12T12:07:17.030402,2
2014-12-12T12:07:17.235703,2
2014-12-12T12:07:17.451697,2
2014-12-12T12:07:17.654141,2
2014-12-12T12:07:17.855769,2
2014-12-12T12:07:18.065702,2
2014-12-12T12:07:18.278096,2
2014-12-12T12:07:18.494736,2
2014-12-12T12:07:18.697103,2
2014-12-12T12:07:18.910365,100
2014-12-12T12:07:19.119953,100
2014-12-12T12:07:19.340887,100
2014-12-12T12:07:19.542925,100
2014-12-12T12:07:19.743446,100
2014-12-12T12:07:19.950467,100
2014-12-12T12:07:20.160815,100
2014-12-12T12:07:20.368479,100
2014-12-12T12:07:20.578518,100
2014-12-12T12:07:20.779863,100
2014-12-12T12:07:20.980506,100
2014-12-12T12:07:21.194378,100
2014-12-12T12:07:21.404225,100
2014-12-12T12:07:21.612568,100
2014-12-12T12:07:21.832370,100
2014-12-12T12:07:22.035224,100
2014-12-12T12:07:22.246523,100
2014-12-12T12:07:22.450447,100
2014-12-12T12:07:22.651703,100
2014-12-12T12:07:22.854292,100
2014-12-12T12:07:23.067055,100
2014-12-12T12:07:23.272429,100
2014-12-12T12:07:23.509244,100
2014-12-12T12:07:23.695931,100
2014-12-12T12:07:23.913372,100
2014-12-12T12:07:24.125948,100
2014-12-12T12:07:24.327309,100
2014-12-12T12:07:24.550089,100
2014-12-12T12:07:24.749099,100
2014-12-12T12:07:24.949762,100
2014-12-12T12:07:25.153520,100
2014-12-12T12:07:25.362474,100
2014-12-12T12:07:25.573920,100
2014-12-12T12:07:25.777419,100
2014-12-12T12:07:25.984711,100
2014-12-12T12:07:26.197340,100
2014-12-12T12:07:26.407713,100
2014-12-12T12:07:26.613051,100
2014-12-12T12:07:26.818143,100
2014-12-12T12:07:27.029098,100
2014-12-12T12:07:27.246015,100
2014-12-12T12:07:27.455789,100
