time,charles,christina,jonathan,yvonne
2013-05-04 14:36:55,5,0,0,1
2013-05-04 14:37:00,0,2,0,1
2013-05-04 14:37:05,0,2,0,1
2013-05-04 14:37:10,0,2,0,1
2013-05-04 14:37:15,0,0,0,1
2013-05-04 14:37:20,0,0,0,1
2013-05-04 14:37:25,0,0,0,1
2013-05-04 14:37:30,0,0,0,1
2013-05-04 14:37:35,0,0,0,1
2013-05-04 14:37:40,0,0,0,1
2013-05-04 14:37:45,0,0,0,1
2013-05-04 14:37:50,0,0,0,1
2013-05-04 14:37:55,0,0,0,1
2013-05-04 14:38:00,0,0,0,1
2013-05-04 14:38:05,0,3,0,1
2013-05-04 14:38:10,5,3,0,1
2013-05-04 14:38:15,5,3,7,7
2013-05-04 14:38:20,5,3,0,1
2013-05-04 14:38:25,5,3,4,1
2013-05-04 14:38:30,5,3,4,7
2013-05-04 14:38:35,5,3,4,8
2013-05-04 14:38:40,5,3,4,7
2013-05-04 14:38:45,5,3,4,7
2013-05-04 14:38:50,5,0,7,1
2013-05-04 14:38:55,5,0,5,5
2013-05-04 14:39:00,5,0,0,5
2013-05-04 14:39:05,5,0,0,7
2013-05-04 14:39:10,0,0,0,5
